Abbriviation_Code,Abbreviated,Standard_Description
1001,agl,above ground level
1002,af,airway facilities
1003,alm,alarm
1004,alt,alternator
1005,apch,approach
1006,assy,assembly
1007,asst,assistant
1008,batt,battery
1009,co,carbon monoxide
1010,carb,carburetor
1011,ch,channel
1012,ck,check
1013,comp,compressor
1014,cw,continuous wave
1015,ckn,crookston municipal airport
1016,co,cuttoff
1017,cyl,cylinder
1018,cht,cylinder head temperature
1019,dmg,damage
1020,di,direction indicator
1021,eng,engine
1022,exh,exhaust
1023,egt,exhaust gas temperature 
1024,ext,external
1025,faa,federal aviation administration
1026,flt,flight
1027,fl,flight level
1028,fod,foreign object damage
1029,fwd,forward
1030,gov,governor
1031,gfk,grand forks
1032,hr,hour
1033,hyd,hydraulic
1034,id,identifier
1035,ign,ignition
1036,ib,inboard
1037,inop,inoperable
1038,inspn,inspection
1039,ldg,landing gear
1040,le,leading-edge
1041,lwr,lower
1042,mi,magnetic indicator
1043,mag,magnetos
1044,mx,maintenance
1045,man,manual
1046,mfg,manufacturing
1047,mixt,mixture
1048,ewr,newark liberty international airport
1049,nd,north dakota
1050,nlg,nose landing gear
1051,ob,onboard
1052,ops,operational safety section
1053,pd,pilot drill
1054,pw,pratt and whitney
1055,pn,promissory note
1056,q,quit
1057,res,resistance
1058,rp,right pattern
1059,sec,second
1060,sn,serial number
1061,sb,service bulletin
1062,svc,serviceable
1063,twy,taxiway
1064,temp,temperature
1065,ukn,unknown
