id,sample,primary_ent,primary_qid,primary_link,secondary_ent,secondary_qid,secondary_link,tertiary_ent,tertiary_qid,tertiary_link,notes
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",ACFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",WING,Q161358,https://www.wikidata.org/wiki/Q161358,,,,,,,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",FUEL TANK,Q1411232,https://www.wikidata.org/wiki/Q1411232,TANK,Q1047832,https://www.wikidata.org/wiki/Q1047832,,,,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",WING FUEL TANK SUMPS,,,FUEL TANK SUMPS,,,SUMPS,Q1592793,https://www.wikidata.org/wiki/Q1592793,
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.",PREFLIGHT,Q2108354,https://www.wikidata.org/wiki/Q2108354,,,,,,,
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,HELICOPTER,Q34486,https://www.wikidata.org/wiki/Q34486,,,,,,,
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,SLING LOAD,,,,,,,,,
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,LOAD,,,,,,,,,
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.,IMPROPER PREFLIGHT,,,PREFLIGHT,Q2108354,https://www.wikidata.org/wiki/Q2108354,,,,
