CODE,LONGDESCRIPTION,SHORTDESCRIPTION
AA,FAIL ADVISE UNSAFE APT COND,APT/COND
AF,IMPROPER MAINTENANCE APT FAC,APT/FAC
AI,INADEQUATELY MAINTAIN AWY FAC,AWY/FAC
AL,DIDN’T FLY ASG ALT IFR CLRNS,ASG/ALT
AP,INADEQUATELY MAINTAINA PCH FAC,APCH/FAC
AS,FAIL TO MAINTAIN ADEQ FLY SPD,FLY/SPD
AT,FAILED TO ADV OF OTHER TRAFFIC,TFC/ADV
AU,ATTEMPT OPERATION WITH DEF EQP,EQP/DEF
AW,FAIL TO ADV OF UNSAFE WX COND,WX/COND
BS,STRUCK BIRDS IN FLIGHT PATH,STRUCK/BIRD
BW,BLOWN OVER BY STRONG WIND,BLOWNOVER
CE,DIDN’T CLEAR ENGINE IN GLIDE,ENG/GL
CH,MISUSE CARBHT/DEIC PROC TB ENG,CARBHT/DEIC
CI,ISSUED IMPR CONFLICTING INSTS,IMPR/INST
CP,STUD PILOT CARRIED PASSENGERS,STUD/PAX
CS,IMPROP OPER COOL SYS OIL ENG C,COOL/OIL
DC,FAILED TO CORRECT FOR DRIFT,DRIFT
DE,"DEFIC, CO MAINTAIN EQUIP/SERV",EQUIP/SERV
DP,FAIL COMPLY DISPATCH PROC REGS,DISPATCH
DR,DRANK ALCOHOLIC BEVERAGE,ALCOHOL
DW,DOWN WIND TAKE OFF OR LANDING,TAKEOFF/DW
EL,ATTEMPTED OPS BEYOND EXP LEVEL,EXPERLEVEL
EQ,IMPROPER OPERATION EMEG/EQUIP,EMEG/EQUIP
ES,STARTED ENG W/OUT ASSIST/EQUIP,ENG/START
FA,COLLIDED WITH OBJ ON FINAL APP,COLLIDE/APP
FC,CLEARED FLIGHT IN ADED FAC/DEST,DEST/FAC
FE,FAILED TO USE ENGINE FIRE/EXT,FIRE/EXT
FN,UNSAFE/COND & FAIL TO MARK OBS,UNSAFE/COND
FO,MISCELLANEOUS MISUSE FUEL SYS,FUEL/SYS
FP,FAIL FOLLOW APPROVED PROC/INST,PROC/INST
FR,FAILED TO RELINQUISH CONTROL,RELINQ/CNTL
FT,IMPROPER MGT/FUEL TANK SELECTO,MGT/FUEL
FW,"FUEL UNPORT, FUEL NOT AT OUTLET",FUELUNPORT
FX,FULL FUEL TO FUEL LOW/EXHAUST,FUEL/LOW
GA,DELAYED IN INIT/GOAROUND,INIT/GOAR
GC,IMPROPER OPER BRAKE/FLT CLTGRD,BRAKE/GRDCTL
