,doc_idx,sent_idx,original_sentence,input,mention,biencoder_predicted_entity,crossencoder_predicted_entity
0,0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel cocked right prior to tkof.,tailwheel,Flywheel,Conventional landing gear
1,2,1,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",lom tuned to wrong freq.,lom,"Lom, Norway",Herbert Lom
2,7,0,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,mtns obscured.,mtns,KCNS,MTN (TV station)
3,10,1,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush.,mesquite,Mesquite,Mesquite
4,22,0,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,aprx 1/2 cupfull fluid under r brake prior to departure.,aprx,Audi Performance and Racing,Elementis
5,25,0,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,acft n42807 & n7930c substantially dmgd.,acft,ACIF,American Car and Foundry Company
6,30,1,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,washer cracked & separated frm bolt.,washer,Washer (hardware),Washer (hardware)
7,31,0,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,aprx 1745lbs ovr max gwt.,aprx,Arc Exploration,HMX
8,31,1,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,eng not feathered.,eng,Eng (letter),Eng (letter)
9,37,0,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","engine quit, landing made on frozen lake.",frozen lake,Glacial lake,Frozen Lake (Montana)
