doc_idx,sent_idx,original_sentence,input,mention,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel cocked right prior to tkof.,tailwheel,Flywheel,Q183576," A flywheel is a mechanical device specifically designed to efficiently store rotational energy (kinetic energy). Flywheels resist changes in rotational speed by their moment of inertia. The amount of energy stored in a flywheel is proportional to the square of its rotational speed and its mass. The way to change a flywheel's stored energy without changing its mass is by increasing or decreasing its rotational speed. Since flywheels act as mechanical energy storage devices, they are the kinetic-energy-storage analogue to electrical capacitors, for example, which are a type of accumulator. Like other types of accumulators, flywheels smooth the ripple in power output, providing surges of high power output as required, absorbing surges of high power input (system-generated power) as required, and in this way act as low-pass filters on the mechanical velocity (angular, or otherwise) of the system.  Common uses of a flywheel include:  Flywheels are typically made of steel and rotate on conventional bearings; these are generally limited to a maximum revolution rate of a few thousand RPM. High energy density flywheels can be made of carbon fiber composites and employ magnetic bearings, enabling them to revolve at speeds up to 60,000 RPM (1 kHz).  Carbon-composite flywheel batteries have recently been manufactured and are proving to be viable in real-world tests on mainstream cars. Additionally, their disposal is more eco-friendly than traditional lithium ion batteries. ",Conventional landing gear,Q2874355," Conventional landing gear, or tailwheel-type landing gear, is an aircraft undercarriage consisting of two main wheels forward of the center of gravity and a small wheel or skid to support the tail. The term taildragger is also used, although some claim it should apply only to those aircraft with a tailskid rather than a wheel.  The term ""conventional"" persists for historical reasons, but all modern jet aircraft and most modern propeller aircraft use tricycle gear. "
2,1,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",lom tuned to wrong freq.,lom,"Lom, Norway",Q488395," Lom is a municipality in Oppland county, Norway. It is part of the traditional region of Gudbrandsdal. The administrative centre of the municipality is the village of Fossbergom. The municipality of Lom was established on 1 January 1838 (see formannskapsdistrikt). The area of Skjak was separated from Lom to become a municipality of its own in 1866.  Lom is famous for its extensive history, for having one of the few remaining stave churches in Norway, and for lying in the midst of the highest mountains in Northern Europe. ",Herbert Lom,Q165357," Herbert Lom (; 11 September 1917 – 27 September 2012) was a Czech-born British film and television actor who moved to the United Kingdom in 1939. In a career lasting more than 60 years, he appeared in character roles, often portraying criminals or villains early in his career and professional men in later years.  Lom was noted for his precise, elegant enunciation of English. He is best known for his roles in ""The Ladykillers"", ""The Pink Panther"" film series, ""War and Peace"" and the television series ""The Human Jungle"". "
7,0,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,mtns obscured.,mtns,KCNS,Q6327147," KCNS, virtual channel 38 (UHF digital channel 39), is a Sonlife Broadcasting Network-affiliated television station licensed to San Francisco, California, United States and serving the San Francisco Bay Area. The station is owned by NRJ TV, LLC, as part of a duopoly with Concord-licensed KTNC-TV (channel 42). The two stations share transmitting facilities at Sutro Tower in San Francisco. ",MTN (TV station),Q6718480," MTN is a television station licensed to serve Griffith and the surrounding Murrumbidgee Irrigation Area (M.I.A.). The station is owned and operated by WIN Corporation as a Seven Network affiliate.  As WIN is the sole commercial television broadcaster in the area, they also supply the stations AMN, a Network Ten affiliate, and the supplementary station MDN, a Nine Network affiliate. This twinstick operation was permitted due to the broadcasting authorities considering Griffith and the M.I.A. too small for three television companies, but large enough for a single company running two stations. The broadcast region covers approximately 39,700 square kilometres, encompassing 20 urban centres which include Leeton, Narrandera, Hay, Hillston and Lake Cargellico. According to 2006 Census data, it is estimated the region has a population of 64,200. "
10,1,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush.,mesquite,Mesquite,Q3315767," Mesquite is a common name for several plants in the genus ""Prosopis"", which contains over 40 species of small leguminous trees. They are native to the southwestern United States and Mexico (except the creeping mesquite, which is native to Argentina, but invasive in southern California). The mesquite originates in the Tamaulipan mezquital ecoregion, in the deserts and xeric shrublands biome, located in the southern United States and northeastern Mexico. It has extremely long roots in order to seek water from very far underground. The region covers an area of 141,500 km (54,600 sq mi), encompassing a portion of the Gulf Coastal Plain in southern Texas, northern Tamaulipas, northeastern Coahuila, and part of Nuevo Leon. As a legume, mesquite is one of the few sources of fixed nitrogen in the desert habitat.  This tree blooms from spring to summer. It often produces fruits known as ""pods"". ""Prosopis spp"" are able to grow up to 8 m tall, with regards to site and climate. It is deciduous and depending on location and rainfall can have either deep or shallow roots. ""Prosopis"" spp is considered long-lived because of the low mortality rate after the dicotyledonous stage and juveniles are also able to survive in conditions with low light and drought. The Cahuilla indigenous people of western North America were known to eat the seeds of mesquite. ",Mesquite,Q3315767," Mesquite is a common name for several plants in the genus ""Prosopis"", which contains over 40 species of small leguminous trees. They are native to the southwestern United States and Mexico (except the creeping mesquite, which is native to Argentina, but invasive in southern California). The mesquite originates in the Tamaulipan mezquital ecoregion, in the deserts and xeric shrublands biome, located in the southern United States and northeastern Mexico. It has extremely long roots in order to seek water from very far underground. The region covers an area of 141,500 km (54,600 sq mi), encompassing a portion of the Gulf Coastal Plain in southern Texas, northern Tamaulipas, northeastern Coahuila, and part of Nuevo Leon. As a legume, mesquite is one of the few sources of fixed nitrogen in the desert habitat.  This tree blooms from spring to summer. It often produces fruits known as ""pods"". ""Prosopis spp"" are able to grow up to 8 m tall, with regards to site and climate. It is deciduous and depending on location and rainfall can have either deep or shallow roots. ""Prosopis"" spp is considered long-lived because of the low mortality rate after the dicotyledonous stage and juveniles are also able to survive in conditions with low light and drought. The Cahuilla indigenous people of western North America were known to eat the seeds of mesquite. "
22,0,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,aprx 1/2 cupfull fluid under r brake prior to departure.,aprx,Audi Performance and Racing,Q4819705," APR LLC is an American automotive engineering and motorsport company that offers aftermarket performance products for cars built by the Volkswagen Group, including Audi, Porsche, SEAT, Skoda and Volkswagen. Audi Performance & Racing was founded in 1997 by Brett Augsburger and Stephen Hooks, automotive engineers looking to offer aftermarket upgrades for Volkswagen Auto Group cars. Their first product was a ECU software upgrade for the 1997 Audi A4 1.8T, but the company soon expanded its product line to include exhaust and turbo systems. APR engine tuning products use proprietary software for reading and writing to Bosch Motronic engine control units.   ",Elementis,Q5358919," Elementis plc is one of the UK's largest speciality chemicals and personal care businesses, with extensive operations in the United States, Europe and Asia. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index. "
25,0,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,acft n42807 & n7930c substantially dmgd.,acft,ACIF,Q4650675, ACIF stands for AFP Conversion and Indexing Facility. ,American Car and Foundry Company,Q2842866," American Car and Foundry (often abbreviated as ACF) is an American manufacturer of railroad rolling stock. One of its subsidiaries was once (1925–54) a manufacturer of motor coaches and trolley coaches under the brand names of (first) ACF and (later) ACF-Brill. Today, ACF is known as ACF Industries LLC and is based in St. Charles, Missouri. It is owned by investor Carl Icahn. "
30,1,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,washer cracked & separated frm bolt.,washer,Washer (hardware),Q637321," A washer is a thin plate (typically disk-shaped, but sometimes square) with a hole (typically in the middle) that is normally used to distribute the load of a threaded fastener, such as a bolt or nut. Other uses are as a spacer, spring (Belleville washer, wave washer), wear pad, preload indicating device, locking device, and to reduce vibration (rubber washer). Washers often have an outer diameter (OD) about twice their inner diameter (ID), but this can vary quite widely.  Washers are usually metal or plastic. High-quality bolted joints require hardened steel washers to prevent the loss of pre-load due to Brinelling after the torque is applied.  Rubber or fiber gaskets used in taps (or faucets, or valves) to seal against water leaks are sometimes referred to colloquially as ""washers""; but, while they may look similar, washers and gaskets are usually designed for different functions and made differently.  Washers are also important for preventing galvanic corrosion, particularly by insulating steel screws from aluminium surfaces.  The origin of the word is unknown; the first recorded use of the word was in 1346, however, the first time its definition was recorded was in 1611.  Washers may also be used in rotating applications, as a bearing. A thrust washer is used when a rolling element bearing is not needed either from a cost-performance perspective or due to space restraints. Coatings can be used in attempt to reduce wear and friction either by hardening their surface, or providing a solid lubricant (i.e. a self-lubricating surface).",Washer (hardware),Q637321," A washer is a thin plate (typically disk-shaped, but sometimes square) with a hole (typically in the middle) that is normally used to distribute the load of a threaded fastener, such as a bolt or nut. Other uses are as a spacer, spring (Belleville washer, wave washer), wear pad, preload indicating device, locking device, and to reduce vibration (rubber washer). Washers often have an outer diameter (OD) about twice their inner diameter (ID), but this can vary quite widely.  Washers are usually metal or plastic. High-quality bolted joints require hardened steel washers to prevent the loss of pre-load due to Brinelling after the torque is applied.  Rubber or fiber gaskets used in taps (or faucets, or valves) to seal against water leaks are sometimes referred to colloquially as ""washers""; but, while they may look similar, washers and gaskets are usually designed for different functions and made differently.  Washers are also important for preventing galvanic corrosion, particularly by insulating steel screws from aluminium surfaces.  The origin of the word is unknown; the first recorded use of the word was in 1346, however, the first time its definition was recorded was in 1611.  Washers may also be used in rotating applications, as a bearing. A thrust washer is used when a rolling element bearing is not needed either from a cost-performance perspective or due to space restraints. Coatings can be used in attempt to reduce wear and friction either by hardening their surface, or providing a solid lubricant (i.e. a self-lubricating surface)."
31,0,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,aprx 1745lbs ovr max gwt.,aprx,Arc Exploration,Q4785013, Arc Exploration Limited (ASX code: ARX) is an Australian publicly listed company focused on gold exploration in Indonesia. It was formed in 1983 and has three major projects currently underway: The project in Bima is resisted by the local population. Human rights violations have been reported and in protests in December 2011 several people were killed by police forces.   ,HMX,Q422206," HMX, also called octogen, is a powerful and relatively insensitive nitroamine high explosive, chemically related to RDX. Like RDX, the compound's name is the subject of much speculation, having been variously listed as High Melting Explosive, Her Majesty's Explosive, High-velocity Military Explosive, or High-Molecular-weight RDX.  The molecular structure of HMX consists of an eight-membered ring of alternating carbon and nitrogen atoms, with a nitro group attached to each nitrogen atom. Because of its high molecular weight, it is one of the most potent chemical explosives manufactured, although a number of newer ones, including HNIW and ONC, are more powerful. "
31,1,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,eng not feathered.,eng,Eng (letter),Q384696," Eng or engma (capital: Ŋ, lowercase: ŋ) is a letter of the Latin alphabet, used to represent a velar nasal (as in English ""sii"") in the written form of some languages and in the International Phonetic Alphabet.  In Washo, lower-case represents a typical sound, while upper-case represents a voiceless sound. This convention comes from Americanist phonetic notation. ",Eng (letter),Q384696," Eng or engma (capital: Ŋ, lowercase: ŋ) is a letter of the Latin alphabet, used to represent a velar nasal (as in English ""sii"") in the written form of some languages and in the International Phonetic Alphabet.  In Washo, lower-case represents a typical sound, while upper-case represents a voiceless sound. This convention comes from Americanist phonetic notation. "
37,0,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","engine quit, landing made on frozen lake.",frozen lake,Glacial lake,Q211302," A glacial lake is a body of water with origins from glacier activity. They are formed when a glacier erodes the land, and then melts, filling the depression created by the glacier. ",Frozen Lake (Montana),Q19880506," Frozen Lake is a lake in Flathead County, Montana, in the United States.  Frozen Lake was named from its tendency to freeze over.   "
