c5_id,c119_input,entities,labels_raw,labels,confidence
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,ELEC,"[{'value': 'ORG', 'confidence': 0.48421093821525574}]",ORG,0.48421093821525574
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,GLIDER,"[{'value': 'PER', 'confidence': 0.7677894234657288}]",PER,0.7677894234657288
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,RUDDER,"[{'value': 'PER', 'confidence': 0.47737330198287964}]",PER,0.47737330198287964
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,RUDDER & AIL,"[{'value': 'ORG', 'confidence': 0.7358713944753011}]",ORG,0.7358713944753011
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",RT BRAKE,"[{'value': 'ORG', 'confidence': 0.7523752152919769}]",ORG,0.7523752152919769
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,COWLING,"[{'value': 'PER', 'confidence': 0.5935772657394409}]",PER,0.5935772657394409
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,ACFT,"[{'value': 'ORG', 'confidence': 0.7063435316085815}]",ORG,0.7063435316085815
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",GASCOLATOR,"[{'value': 'MISC', 'confidence': 0.692322850227356}]",MISC,0.692322850227356
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,BOLT,"[{'value': 'PER', 'confidence': 0.662580132484436}]",PER,0.662580132484436
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",AILERON,"[{'value': 'ORG', 'confidence': 0.7159136533737183}]",ORG,0.7159136533737183
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,TKOF,"[{'value': 'PER', 'confidence': 0.952486515045166}]",PER,0.952486515045166
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,MUD DAUBERS,"[{'value': 'ORG', 'confidence': 0.6847349107265472}]",ORG,0.6847349107265472
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,GASCOLATOR BOWL,"[{'value': 'MISC', 'confidence': 0.7810632288455963}]",MISC,0.7810632288455963
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,IFR,"[{'value': 'ORG', 'confidence': 0.48745083808898926}]",ORG,0.48745083808898926
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,ATC,"[{'value': 'ORG', 'confidence': 0.681961715221405}]",ORG,0.681961715221405
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",COWLING,"[{'value': 'PER', 'confidence': 0.9996341466903687}]",PER,0.9996341466903687
19781102039739A,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  ",CESSNA,"[{'value': 'ORG', 'confidence': 0.6946660876274109}]",ORG,0.6946660876274109
19781117041969A,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,TKOF,"[{'value': 'ORG', 'confidence': 0.7044719457626343}]",ORG,0.7044719457626343
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,NITE.PLT,"[{'value': 'ORG', 'confidence': 0.6702746748924255}]",ORG,0.6702746748924255
19790318009229I,ZG FORCED LANDING AFTER ENGINE QUIT. FUEL SELECTOR WAS NOT POSITIONED PROPERLY.                                    ,ZG,"[{'value': 'ORG', 'confidence': 0.7147231101989746}]",ORG,0.7147231101989746
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,LAKE,"[{'value': 'LOC', 'confidence': 0.6138219237327576}]",LOC,0.6138219237327576
19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,ACRFT,"[{'value': 'ORG', 'confidence': 0.6869990825653076}]",ORG,0.6869990825653076
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,AILERON,"[{'value': 'ORG', 'confidence': 0.7880909442901611}]",ORG,0.7880909442901611
19790609016529A,ROPE BROKE DURING AERO TOW TAKE OFF WHEN GLIDER WAS 140 FEET ABOVE GROUND. CRASH OCCURRED DURING FORCED LANDING.   ,AERO,"[{'value': 'MISC', 'confidence': 0.3471545875072479}]",MISC,0.3471545875072479
19790623014019A,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,RUDDER,"[{'value': 'PER', 'confidence': 0.6885205507278442}]",PER,0.6885205507278442
19790429005459A,ACFT NOT FLOWN FOR 2 WKS. SEVERE RAIN. PILOT SAID THAT THERE WAS WATER IN FUEL                                     ,ACFT,"[{'value': 'ORG', 'confidence': 0.5043379068374634}]",ORG,0.5043379068374634
19790809030499I,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           ,GASCOLATOR,"[{'value': 'ORG', 'confidence': 0.5572994947433472}]",ORG,0.5572994947433472
19790817031829I,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,ZA ZG,"[{'value': 'ORG', 'confidence': 0.7686792314052582}]",ORG,0.7686792314052582
19790928049769I,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 ,COWL,"[{'value': 'ORG', 'confidence': 0.7911527752876282}]",ORG,0.7911527752876282
19790904034369I,ZA ZG ZH EMERGENCY LANDING DUE TO FUEL CONTAMINATED WITH WATER.                                                    ,ZA ZG,"[{'value': 'ORG', 'confidence': 0.8600108325481415}]",ORG,0.8600108325481415
19791126034419A,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,CFI,"[{'value': 'ORG', 'confidence': 0.9909613728523254}]",ORG,0.9909613728523254
19791126034419A,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,RWY,"[{'value': 'PER', 'confidence': 0.41100943088531494}]",PER,0.41100943088531494
19800113000039A,DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.        ,IFR,"[{'value': 'PER', 'confidence': 0.9814017415046692}]",PER,0.9814017415046692
19800113000039A,DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.        ,IFR,"[{'value': 'PER', 'confidence': 0.876336932182312}]",PER,0.876336932182312
19800120016369I,AIRCRAFT DIVERTED TO LOS ANGELES DUE TO STICKING FLAP. LUBRICATED FLAP JACKSCREW. RETURNED TO SERVICE.             ,LOS ANGELES,"[{'value': 'ORG', 'confidence': 0.5651767551898956}]",ORG,0.5651767551898956
