c5_id,c119_input,entities,labels_raw,labels,confidence
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",2ND,"[{'value': 'ORDINAL', 'confidence': 0.9864144921302795}]",ORDINAL,0.9864144921302795
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","APCH,ACFT'S","[{'value': 'ORG', 'confidence': 0.9999626874923706}]",ORG,0.9999626874923706
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,TAXIWAY,"[{'value': 'ORG', 'confidence': 0.8803749680519104}]",ORG,0.8803749680519104
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,6,"[{'value': 'CARDINAL', 'confidence': 0.9999904632568359}]",CARDINAL,0.9999904632568359
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,DEP,"[{'value': 'ORG', 'confidence': 0.8236043453216553}]",ORG,0.8236043453216553
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,MTNS,"[{'value': 'ORG', 'confidence': 0.5810257196426392}]",ORG,0.5810257196426392
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,PRIOR DAY,"[{'value': 'DATE', 'confidence': 0.9998863339424133}]",DATE,0.9998863339424133
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,PLT,"[{'value': 'ORG', 'confidence': 0.9996832609176636}]",ORG,0.9996832609176636
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,PLT,"[{'value': 'ORG', 'confidence': 0.6681494116783142}]",ORG,0.6681494116783142
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,SKID,"[{'value': 'ORG', 'confidence': 0.9999467134475708}]",ORG,0.9999467134475708
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,RUDDER & AIL,"[{'value': 'ORG', 'confidence': 0.9534066518147787}]",ORG,0.9534066518147787
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,RUDDER,"[{'value': 'ORG', 'confidence': 0.9445111751556396}]",ORG,0.9445111751556396
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,#5,"[{'value': 'CARDINAL', 'confidence': 0.9999045431613922}]",CARDINAL,0.9999045431613922
