,c5_id,doc_idx,sent_idx,c119_input,sentence,entities
0,19750419011349A,1,0,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,tow plane became airborne then settled .,"[1, 1, 'VEH']"
1,19750419011349A,1,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,student thought tow in trouble & released .,"[7, 7, 'PER']"
2,19751029037799A,2,0,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","2nd ils apch , acft 's g/s inop .","[4, 4, 'ORG']"
3,19751209037899A,3,0,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,plt noted soft r brake pedal drg taxi to tkof .,"[9, 9, 'ORG']"
4,19750818025579A,4,0,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,taxi off hard sfc due tfc r main gr broke through roof of a washed out underground tunnel .,"[17, 17, 'FAC']"
5,19760606015529A,8,0,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,sufficient opportunity existed to release when glider assumed nose high attitude .,"[6, 6, 'VEH']"
6,19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,"[0, 0, 'ORG']"
7,19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,"[11, 11, 'ORG']"
8,19760715023479A,14,1,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,skid caught under refueling line .,"[4, 4, 'VEH']"
9,19770610021339A,25,1,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,plt continued taxiing after total hyd failure .,"[7, 7, 'ORG']"
10,19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,"[0, 0, 'ORG']"
11,19770912040629A,31,1,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,eng not feathered .,"[6, 6, 'PER']"
12,19770912040629A,31,2,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,autofeather not connected .,"[10, 10, 'VEH']"
13,19780130004789I,41,0,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,pilot failed to check position of gear handle .,"[0, 0, 'PER']"
14,19780102000459I,42,0,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","taxied off runway , struck ditch at night .","[2, 2, 'FAC']"
15,19780102000459I,42,0,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","taxied off runway , struck ditch at night .","[5, 5, 'LOC']"
16,19780115003139I,46,0,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,new aircraft owner not aware of purpose or operation of quick drain .,"[1, 1, 'VEH']"
17,19780115003139I,46,0,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,new aircraft owner not aware of purpose or operation of quick drain .,"[2, 2, 'PER']"
18,19780206006149I,47,0,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",pilot failed to remove tow bar before takeoff .,"[0, 0, 'PER']"
19,19780111000459A,50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot .,"[1, 1, 'PER']"
20,19780111000459A,50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot .,"[4, 4, 'PER']"
21,19780111000459A,50,1,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,pilot forgot to remove tiedrope .,"[6, 6, 'PER']"
22,19780208007759I,51,0,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,pilot observed gear safe lights but gear collapsed after landing .,"[0, 0, 'PER']"
23,19780210006769I,52,1,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","no pilot certificate , no annual .","[15, 15, 'PER']"
24,19780212006439I,55,0,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,pilot unable to become airborne due to frost on the wings and falure to use full power .,"[0, 0, 'PER']"
25,19780218007139I,57,0,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,pilot intended to fly locally after recent blizzard .,"[0, 0, 'PER']"
26,19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .","[10, 10, 'VEH']"
27,19780225001819I,59,1,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,pilot claims fuel gauge faulty .,"[11, 11, 'PER']"
28,19780307014069I,60,0,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,pilot struck an unlighted barricade during taxi from landing .,"[0, 0, 'PER']"
29,19780307014069I,60,0,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,pilot struck an unlighted barricade during taxi from landing .,"[4, 4, 'FAC']"
30,19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,"[0, 0, 'PER']"
31,19780221000179I,61,1,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","nearly out of oil , pilot had not checked it before takeoff .","[15, 15, 'PER']"
32,19780228000419I,62,1,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,engine shut down .,"[6, 6, 'VEH']"
33,19780311016379I,64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown .,"[0, 0, 'PER']"
34,19780327010619I,65,0,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",pilot lost fuel in flight due to fuel caps on backward .,"[0, 0, 'PER']"
35,19780421012829I,66,0,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",pilot noted aircraft light dimming on night flight .,"[0, 0, 'PER']"
