,index,input,head,relation,tail
0,10,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",mesquite brush,USED-FOR,gear-up ldg
1,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,lndng gr extnsn,USED-FOR,plt
2,34,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,power loss,USED-FOR,forced landing
3,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction,PART-OF,main fuel strainer
4,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",gascolator,CONJUNCTION,carburetor
5,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",system,CONJUNCTION,gascolator
6,111,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,USED-FOR,forced landing
7,129,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",inflation,CONJUNCTION,cam adjustment
8,147,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,USED-FOR,forced landing
9,160,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,jet blast,USED-FOR,baggage cart
10,167,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure,CONJUNCTION,total electrical failure
11,181,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,directional control,FEATURE-OF,icy runway
12,187,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,turbochargers,USED-FOR,tkof
13,194,GRINDING NOISE WITH GEAR RETRACTION. NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED.                    ,gear retraction,USED-FOR,grinding noise
14,216,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,air filter,CONJUNCTION,carburator
15,221,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,wing drains,CONJUNCTION,fuselage
16,231,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL                                                               ,power loss,USED-FOR,forced landing
17,250,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,rudder trim,USED-FOR,full nose left trim
18,253,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,USED-FOR,forced landing
19,262,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,improperly serviced struts,USED-FOR,gr resonance
20,270,PILOTS FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL.                                ,gear handle,CONJUNCTION,gear retraction
21,289,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,inoperative brakes,PART-OF,ground stand baggage cart
22,290,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,hydraulic reservoir,USED-FOR,landing gear
23,298,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,electrical failure,USED-FOR,manual gear extension
24,331,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ",power,CONJUNCTION,control
25,346,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,ice,PART-OF,strainer
26,346,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,fuel on-off selector,USED-FOR,fuel system
27,393,"ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF. STALLED, AVOIDING TREES. STUCK RINGS AND VALVES FROM SLUDGE IN OIL. ",stuck rings,CONJUNCTION,valves
28,430,UNSCHEDULED LANDING AFTER ENGINE ROUGHNESS. FOUND WATER IN FUEL TANKS.                                             ,engine roughness,USED-FOR,unscheduled landing
29,461,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,loose oil cap,USED-FOR,loss of oil
30,474,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,USED-FOR,forced landing
31,492,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",tail skid,CONJUNCTION,right inboard flap
32,492,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",light lens,CONJUNCTION,tail skid
33,520,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ",loose control lock,USED-FOR,rudder pedal
34,546,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,emergency gear lowering system,USED-FOR,landing gear
35,548,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",altitude,CONJUNCTION,vsi
36,548,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",lost airspeed,CONJUNCTION,altitude
37,548,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",static ports,CONJUNCTION,bad circuit breaker
38,548,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",vsi,USED-FOR,climbout
39,573,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,electrical switch,USED-FOR,sling load
