,index,input,head,relation,tail
0,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",gascolator,CONJUNCTION,carburetor
1,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",system,CONJUNCTION,gascolator
2,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,mud,CONJUNCTION,loose gravel
3,104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,acorns,PART-OF,carb air box assembly
4,116,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,grass,CONJUNCTION,dirt
5,194,GRINDING NOISE WITH GEAR RETRACTION. NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED.                    ,gear retraction,USED-FOR,grinding noise
6,201,"LOUD NOISE DURING RETRACTION, NOSE GEAR COLLPASED ON LANDING. LOOSE NOSE GEAR DOOR JAMMED AND BROKE MECHANISM. ZK  ",loud noise,USED-FOR,retraction
7,203,"PILOT UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF, DUE TO RESTRICTED STEERING AND FROST.                             ",restricted steering,CONJUNCTION,frost
8,216,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,gascolator,CONJUNCTION,flexible hose
9,271,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           ,dirt,CONJUNCTION,water
10,289,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,inoperative brakes,PART-OF,ground stand baggage cart
11,298,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,electrical failure,USED-FOR,manual gear extension
12,355,ENGINE LOST RPM DUE TO WATER IN FUEL TANKS AND FUEL SYSTEM. AIRCRAFT STRUCK FENCE DURING FORCED LANDING.           ,fuel tanks,CONJUNCTION,fuel system
13,386,NOSE GEAR COLLAPSED ON LANDING. PILOT WAS UNABLE TO VERIFY GEAR POSITION WITH DEFECTIVE LIGHT.                     ,defective light,USED-FOR,gear position
14,393,"ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF. STALLED, AVOIDING TREES. STUCK RINGS AND VALVES FROM SLUDGE IN OIL. ",stuck rings,CONJUNCTION,valves
15,409,ENGINE FAILED FROM FUEL STARVATION. FUEL CAP FOUND IMPROPERLY SECURED. CRASH OCCURRED DURING EMERGENCY LANDING.    ,fuel starvation,FEATURE-OF,engine
16,492,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",tail skid,CONJUNCTION,right inboard flap
17,492,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ",light lens,CONJUNCTION,tail skid
18,504,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   ,wheels,CONJUNCTION,towbar
19,514,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,carpeting,USED-FOR,rudder pedal movement
20,517,"USED FLAPS IN PLACE OF SPEED BRAKE. OVERSHOT RUNWAY. STALLED, TRYING A GO-AROUND FOR ALTERNATE RUNWAY.             ",flaps,USED-FOR,speed brake
21,546,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,emergency gear lowering system,USED-FOR,landing gear
22,548,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ",altitude,CONJUNCTION,vsi
23,573,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,electrical switch,USED-FOR,sling load
