c5_id,doc_idx,sent_idx,c119_input,sentence,entities,labels
19750315005389A,0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel cocked right prior to tkof .,tailwheel,OtherScientificTerm
19751209037899A,3,1,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,flt rtnd springfield due soft brake strong winds bos,soft brake,OtherScientificTerm
19760215007629A,7,0,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,mtns obscured .,mtns,OtherScientificTerm
19760531024959A,9,1,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,turbocharger waste gate did not actuate .,turbocharger waste gate,OtherScientificTerm
19760507010379A,10,1,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush .,gear-up ldg,Method
19760507010379A,10,1,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush .,mesquite brush,OtherScientificTerm
19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,vfr departure,OtherScientificTerm
19760730023679A,13,0,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","elect syst went dead , generator circuit breaker switch not engaged .",elect syst,Method
19760730023679A,13,0,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","elect syst went dead , generator circuit breaker switch not engaged .",generator circuit breaker switch,OtherScientificTerm
19770506041719A,17,0,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","r eng , l mag excessive drop .",r eng,OtherScientificTerm
19770702018479A,19,1,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,r rudder cable caught under battery box support structure .,rudder cable,OtherScientificTerm
19770702018479A,19,1,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,r rudder cable caught under battery box support structure .,battery box support structure,OtherScientificTerm
19770610021339A,25,0,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,acft n42807 & n7930c substantially dmgd .,dmgd,Method
19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,plt,Method
