,doc_idx,sent_idx,original_sentence,input,head,relation,tail
0,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,lndng gr extnsn,USED-FOR,plt
1,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
2,37,0,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,ice restriction,PART-OF,main fuel strainer
3,58,0,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",gascolator,CONJUNCTION,carburetor
4,58,0,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",system,CONJUNCTION,gascolator
5,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
6,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
7,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,jet blast,USED-FOR,baggage cart
8,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,engine falure,CONJUNCTION,total electrical failure
9,181,0,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,lost directional control on icy runway .,directional control,FEATURE-OF,icy runway
10,187,0,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,turbochargers not used on tkof .,turbochargers,USED-FOR,tkof
11,194,0,GRINDING NOISE WITH GEAR RETRACTION. NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED.                    ,grinding noise with gear retraction .,gear retraction,USED-FOR,grinding noise
12,216,0,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,after a forced landing ice was found in gascolator and in flexible hose between air filter and carburator .,air filter,CONJUNCTION,carburator
13,221,2,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,fuel stains found from wing drains to fuselage .,wing drains,CONJUNCTION,fuselage
14,231,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL                                                               ,forced landing after power loss .,power loss,USED-FOR,forced landing
15,250,0,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,rudder trim was set for full nose left trim .,rudder trim,USED-FOR,full nose left trim
16,253,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
17,262,1,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,improperly serviced struts caused gr resonance .,improperly serviced struts,USED-FOR,gr resonance
18,270,0,PILOTS FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL.                                ,pilots failed to check position of gear handle and gear retraction on takeoff roll .,gear handle,CONJUNCTION,gear retraction
19,289,0,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,ground stand baggage cart with inoperative brakes rolled into side of parked aircraft .,inoperative brakes,PART-OF,ground stand baggage cart
20,290,1,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,found hydraulic reservoir too low on fluid to operate landing gear .,hydraulic reservoir,USED-FOR,landing gear
21,298,0,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,electrical failure resulted in manual gear extension .,electrical failure,USED-FOR,manual gear extension
22,331,2,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ",power and control were soon restored .,power,CONJUNCTION,control
23,346,0,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,ice & water found in lowest point in fuel system under fuel on-off selector .,fuel on-off selector,USED-FOR,fuel system
24,346,1,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,ice also found in the strainer .,ice,PART-OF,strainer
25,393,1,"ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF. STALLED, AVOIDING TREES. STUCK RINGS AND VALVES FROM SLUDGE IN OIL. ",stuck rings and valves from sludge in oil .,stuck rings,CONJUNCTION,valves
26,430,0,UNSCHEDULED LANDING AFTER ENGINE ROUGHNESS. FOUND WATER IN FUEL TANKS.                                             ,unscheduled landing after engine roughness .,engine roughness,USED-FOR,unscheduled landing
27,461,1,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,loss of oil was due to loose oil cap .,loose oil cap,USED-FOR,loss of oil
28,474,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
29,492,0,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ","landing in slush caused damage to light lens , tail skid , and right inboard flap .",tail skid,CONJUNCTION,right inboard flap
30,492,0,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ","landing in slush caused damage to light lens , tail skid , and right inboard flap .",light lens,CONJUNCTION,tail skid
31,520,0,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ","rudder pedal blocked by loose control lock , lying on floor .",loose control lock,USED-FOR,rudder pedal
32,546,0,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,pilot forgot to use emergency gear lowering system to lower landing gear .,emergency gear lowering system,USED-FOR,landing gear
33,548,0,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",altitude,CONJUNCTION,vsi
34,548,0,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",lost airspeed,CONJUNCTION,altitude
35,548,0,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",vsi,USED-FOR,climbout
36,548,2,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","tape on static ports , bad circuit breaker .",static ports,CONJUNCTION,bad circuit breaker
37,573,0,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,pilot tried to release sling load with electrical switch which failed .,electrical switch,USED-FOR,sling load
38,631,0,CLIMB PERFORMANCE DIMINISHED BY WATER DROPLETS ON LAMINA FLOW WING. STRUCK TREES OFF END OF RUNWAY ON TAKEOFF CLIMB,climb performance diminished by water droplets on lamina flow wing .,water droplets,USED-FOR,climb performance
39,632,0,REPORT INDICATES FUEL TANK CAP NOT SECURED. POSSIBLE FUEL LEAK DURING INVERTED FLIGHT. FIRE ERUPTED. LOST CONTROL. ,possible fuel leak during inverted flight .,inverted flight,FEATURE-OF,fuel leak
40,642,1,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","cracked windshield , dented stabilizer .",cracked windshield,CONJUNCTION,dented stabilizer
41,644,0,PILOT NEGLECTED TO CONNECT ELEVATOR CONTROL DURING GLIDER ASSEMBLY. CRASH OCCURRED DURING TAKEOFF.                 ,pilot neglected to connect elevator control during glider assembly .,elevator control,USED-FOR,glider assembly
42,722,1,HAD CYCLIC CONTROL PROBLEMS. FOUND CENTER SEAT BUCKLE HAD LODGED BETWEEN THE RIGHT CYCLIC CONTROL AND THE PEDESTAL.,found center seat buckle had lodged between the right cyclic control and the pedestal .,cyclic control,CONJUNCTION,pedestal
43,727,0,HIGH ITT AND LOW OIL PRESSURE ON BOTH ENGINES ON APPROACH. FOUND BOTH OIL CAPS IN PLACE BUT NOT LOCKED DOWN.       ,high itt and low oil pressure on both engines on approach .,itt,CONJUNCTION,oil pressure
44,735,1,ENGINE MALFUNCTION ON INITIAL CLIMBOUT. FOUND WATER AND FINE DIRT PARTICLES IN STRAINER AND FUSELAGE BELLY DRAIN.  ,found water and fine dirt particles in strainer and fuselage belly drain .,strainer,CONJUNCTION,fuselage belly drain
45,738,0,CRASHED SHORTLY AFTER LIFTOFF. FOUND REAR CONTROL STICK SECURED IN FULL AFT POSITION BY THE SEAT BELT.             ,found rear control stick secured in full aft position by the seat belt .,seat belt,USED-FOR,rear control stick
46,747,0,LOST ENGINE POWER AT CRUISE ALTITUDE. CARBURETOR HEAT APPLIED. WATER DRAINED FROM FUEL SYSTEM.                     ,lost engine power at cruise altitude .,cruise altitude,FEATURE-OF,lost engine power
47,768,0,"UNUSUAL ATTITUDE, LOSS OF CONTROL AND AIRFRAME FAILURE. CREW UNABLE TO ANALYZE COMPONENT. FAILURE IN GYRO SYSTEM.  ","unusual attitude , loss of control and airframe failure .",loss of control,CONJUNCTION,airframe failure
48,768,0,"UNUSUAL ATTITUDE, LOSS OF CONTROL AND AIRFRAME FAILURE. CREW UNABLE TO ANALYZE COMPONENT. FAILURE IN GYRO SYSTEM.  ","unusual attitude , loss of control and airframe failure .",unusual attitude,CONJUNCTION,loss of control
49,815,0,RETURNED THINKING HYDRAULIC PUMP FOR NOSE GEAR FAILED. FOUND NOSE GEAR PIN HAD NOT BEEN REMOVED.                   ,returned thinking hydraulic pump for nose gear failed .,hydraulic pump,USED-FOR,nose gear
