,c5_id,doc_idx,sent_idx,c119_input,sentence,entities
0,19750315005389A,0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel cocked right prior to tkof .,"[0, 0, 'OtherScientificTerm']"
1,19751209037899A,3,1,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,flt rtnd springfield due soft brake strong winds bos .,"[15, 16, 'OtherScientificTerm']"
2,19760215007629A,7,0,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,mtns obscured .,"[0, 0, 'OtherScientificTerm']"
3,19760531024959A,9,1,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,turbocharger waste gate did not actuate .,"[8, 10, 'OtherScientificTerm']"
4,19760507010379A,10,1,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush .,"[6, 7, 'Method']"
5,19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,"[11, 12, 'OtherScientificTerm']"
6,19760730023679A,13,0,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","elect syst went dead , generator circuit breaker switch not engaged .","[0, 1, 'Method']"
7,19760730023679A,13,0,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","elect syst went dead , generator circuit breaker switch not engaged .","[5, 8, 'OtherScientificTerm']"
8,19770506041719A,17,0,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","r eng , l mag excessive drop .","[0, 1, 'OtherScientificTerm']"
9,19770702018479A,19,1,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,r rudder cable caught under battery box support structure .,"[8, 9, 'OtherScientificTerm']"
10,19770702018479A,19,1,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,r rudder cable caught under battery box support structure .,"[12, 15, 'OtherScientificTerm']"
11,19770610021339A,25,0,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,acft n42807 & n7930c substantially dmgd .,"[5, 5, 'Method']"
12,19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,"[0, 0, 'Method']"
13,19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,"[5, 7, 'Method']"
14,19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,"[9, 11, 'OtherScientificTerm']"
15,19770617020389A,27,0,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,insufficient altitude for successful autorotation .,"[4, 4, 'Task']"
16,19770530015519A,28,0,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","choker cable still connected to cargo hook during flt , free to trail in slipstream , struck t/r .","[0, 1, 'OtherScientificTerm']"
17,19770706020519A,30,0,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,an175-16 had pulled through torque link center scissors .,"[4, 7, 'Method']"
18,19770706020519A,30,1,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,washer cracked & separated frm bolt .,"[13, 14, 'OtherScientificTerm']"
19,19770912040629A,31,2,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,autofeather not connected .,"[10, 10, 'OtherScientificTerm']"
20,19780112002729I,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,"[0, 1, 'Task']"
21,19780112002729I,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,"[3, 4, 'OtherScientificTerm']"
22,19780108002219I,35,1,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,found frozen water in fuel system .,"[10, 11, 'Method']"
23,19780129004679I,37,1,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,"[9, 10, 'OtherScientificTerm']"
24,19780129004679I,37,1,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,"[12, 14, 'Method']"
25,19780203005449I,38,0,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,shortly after changing fuel tanks one engine became rough and was shut down .,"[3, 4, 'OtherScientificTerm']"
26,19780203005449I,38,1,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,had been topped off with jet fuel .,"[19, 20, 'OtherScientificTerm']"
27,19780121004029I,40,0,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,gear switch was not in the down position and gear retracted during take off roll .,"[0, 1, 'OtherScientificTerm']"
28,19770927027719A,45,2,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,throttle friction loose .,"[11, 12, 'OtherScientificTerm']"
29,19780206006149I,47,1,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",strange noise during retraction .,"[9, 10, 'OtherScientificTerm']"
30,19780206006039I,49,0,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,engine cowling came loose in flight .,"[0, 1, 'OtherScientificTerm']"
31,19780211006969I,53,0,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",nose gear collapsed while waiting for takeoff .,"[0, 1, 'OtherScientificTerm']"
32,19780211006969I,53,1,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","was being ferried from an earlier collapse , nose gear not braced .","[16, 17, 'OtherScientificTerm']"
