,doc_idx,sent_idx,c5_id,original_sentence,input,head,relation,tail
0,10,0,19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush .,mesquite brush,USED-FOR,gear-up ldg
1,26,0,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,lndng gr extnsn,USED-FOR,plt
2,34,0,19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
3,37,0,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,ice restriction,PART-OF,main fuel strainer
4,58,0,19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",gascolator,CONJUNCTION,carburetor
5,58,0,19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",system,CONJUNCTION,gascolator
6,111,0,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
7,129,0,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment,inflation,CONJUNCTION,cam adjustment
8,147,0,19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
9,160,0,19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,jet blast,USED-FOR,baggage cart
10,167,0,19781230020029I,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,engine falure,CONJUNCTION,total electrical failure
11,181,0,19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,lost directional control on icy runway .,directional control,FEATURE-OF,icy runway
12,187,0,19781117041969A,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,turbochargers not used on tkof .,turbochargers,USED-FOR,tkof
13,194,0,19790220007249I,GRINDING NOISE WITH GEAR RETRACTION. NOSE GEAR PARTIALLY RETRACTED STRUT FLAT AND WHEEL CANTED.                    ,grinding noise with gear retraction .,gear retraction,USED-FOR,grinding noise
14,216,0,19790204002289A,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,after a forced landing ice was found in gascolator and in flexible hose between air filter and carburator .,air filter,CONJUNCTION,carburator
15,221,2,19790210002629A,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,fuel stains found from wing drains to fuselage .,wing drains,CONJUNCTION,fuselage
16,231,0,19790312008529I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL                                                               ,forced landing after power loss .,power loss,USED-FOR,forced landing
17,250,0,19790623014019A,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,rudder trim was set for full nose left trim .,rudder trim,USED-FOR,full nose left trim
18,253,0,19790627017429I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
19,262,1,19790525014229A,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,improperly serviced struts caused gr resonance .,improperly serviced struts,USED-FOR,gr resonance
20,270,0,19790719019309I,PILOTS FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL.                                ,pilots failed to check position of gear handle and gear retraction on takeoff roll .,gear handle,CONJUNCTION,gear retraction
21,289,0,19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,ground stand baggage cart with inoperative brakes rolled into side of parked aircraft .,inoperative brakes,PART-OF,ground stand baggage cart
