,index,input,head,relation,tail
0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,T-Bone,performer,John Wayne
1,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,student,has part,teacher
2,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,teacher,part of,student
3,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",2nd ils apch,instance of,g/s
4,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,tkof,uses,pedal
5,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,main gr,part of,tunnel
6,5,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,road,length,6
7,6,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,elec,subclass of,gr
8,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,ck,subclass of,prior day
9,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,Air Force,country,United States
10,9,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,turbocharger,subclass of,engine
11,10,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",eng,product or material produced,oil
12,11,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,wndshd,parent organization,vfr
13,12,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,gr safe,facet of,wind
14,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",circuit breaker,subclass of,generator
15,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,The Great Gatsby,cast member,David Bowie
16,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",lndg,part of,lndt
17,16,NO NARRATIVE AVAILABLE                                                                                             ,The Great Gatsby,derivative work,Glee
18,16,NO NARRATIVE AVAILABLE                                                                                             ,Glee,based on,The Great Gatsby
