,index,input,head,relation,tail
0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel,part of,tributary
1,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tributary,has part,tailwheel
2,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,student,different from,teacher
3,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,teacher,different from,student
4,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",2nd ils apch,instance of,g/s
5,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",g/s,has part,2nd ils apch
6,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,plt,has part,brake pedal
7,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,plt,has part,tkof
8,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,brake pedal,part of,plt
9,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,brake pedal,part of,tkof
10,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,tkof,part of,plt
11,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,tkof,has part,brake pedal
12,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,main gr,connects with,tunnel
13,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,tunnel,connects with,main gr
14,5,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,6 in rut,subclass of,taxied
15,6,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,emerg gr down,instance of,dest
16,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,2008 Summer Olympics,point in time,2008
17,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,2008 Summer Olympics,location,Beijing
18,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,2008 Summer Olympics,country,China
19,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,Beijing,country,China
20,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,China,capital,Beijing
21,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,1987,point in time,1987
22,9,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,waste gate,subclass of,turbocharger
23,10,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",high oil usage,subclass of,eng
24,11,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,wndshd,replaced by,vfr
25,11,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,vfr,replaces,wndshd
26,12,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,wind,has effect,vibration
27,12,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,vibration,has cause,wind
28,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",generator,has part,circuit breaker
29,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",circuit breaker,part of,generator
30,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,St. Louis,located in the administrative territorial entity,Missouri
31,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,Missouri,contains administrative territorial entity,St. Louis
32,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",lndg,different from,lndt
33,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",lndt,different from,lndg
34,16,NO NARRATIVE AVAILABLE                                                                                             ,World War I,followed by,World War II
35,16,NO NARRATIVE AVAILABLE                                                                                             ,World War II,follows,World War I
36,16,NO NARRATIVE AVAILABLE                                                                                             ,World War II,followed by,World War II
37,16,NO NARRATIVE AVAILABLE                                                                                             ,World War II,follows,World War I
38,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",prop,different from,mag
39,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",mag,different from,prop
40,18,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,wind turbine,subclass of,turbine
41,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,r rudder cable,connects with,battery box
42,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,battery box,connects with,r rudder cable
43,20,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,1985,point in time,1985
44,21,WRONG PROP INSTALLED                                                                                               ,World War I,followed by,World War II
45,21,WRONG PROP INSTALLED                                                                                               ,World War II,follows,World War I
46,21,WRONG PROP INSTALLED                                                                                               ,World War II,followed by,World War II
47,21,WRONG PROP INSTALLED                                                                                               ,World War II,follows,World War I
48,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,2,said to be the same as,1
49,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,2,said to be the same as,1
50,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,2
51,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,1
52,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,2
53,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,1
54,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,2
55,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,1
56,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,2
57,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1,said to be the same as,1
58,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,World War I,followed by,World War II
59,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,World War II,follows,World War I
60,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,World War II,followed by,World War II
61,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,World War II,follows,World War I
62,24,OIL FILLER CAP MISSING.                                                                                            ,1944 New York World's Fair,point in time,1944
63,24,OIL FILLER CAP MISSING.                                                                                            ,1944 New York World's Fair,followed by,1945 New York World's Fair
64,24,OIL FILLER CAP MISSING.                                                                                            ,1945 New York World's Fair,follows,1944 New York World's Fair
65,24,OIL FILLER CAP MISSING.                                                                                            ,1945 New York World's Fair,point in time,1945
66,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,n7930c,has cause,hyd failure
67,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,hyd failure,has effect,n7930c
68,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,lndng,subclass of,extnsn
69,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,World War I,followed by,World War II
70,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,World War II,follows,World War I
71,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,World War II,followed by,World War II
72,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,World War II,follows,World War I
73,28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",cargo hook,subclass of,cable
74,29,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,FLT,subclass of,bulb
