,index,input,sentence,head,relation,tail
0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,<triplet> TKOF <subj> Tijuana <obj> located in the administrative territorial entity,TKOF,located in the administrative territorial entity,Tijuana
1,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,<triplet> HIT TREE <subj> AIRBORNE <obj> manufacturer,HIT TREE,manufacturer,AIRBORNE
2,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",<triplet> 2ND ILS APCH <subj> INOP <obj> parent organization <triplet> INOP <subj> 2nd ILS APCH <obj> subsidiary,2ND ILS APCH,parent organization,INOP
3,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",<triplet> 2ND ILS APCH <subj> INOP <obj> parent organization <triplet> INOP <subj> 2nd ILS APCH <obj> subsidiary,INOP,subsidiary,2nd ILS APCH
4,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,<triplet> FLT <subj> PEDAL <obj> located in the administrative territorial entity,FLT,located in the administrative territorial entity,PEDAL
5,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,<triplet> TFC <subj> TAXI <obj> instance of,TFC,instance of,TAXI
6,5,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,<triplet> TAXIWAY <subj> 6 <obj> length,TAXIWAY,length,6
7,6,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,<triplet> DEP FOR DEST <subj> EMERG <obj> field of work,DEP FOR DEST,field of work,EMERG
8,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,<triplet> INOP <subj> MOR <obj> parent organization,INOP,parent organization,MOR
9,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,The Great Gatsby,derivative work,Glee
10,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,Glee,based on,The Great Gatsby
11,9,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,<triplet> TURBOCHARGER WASTE GATE <subj> USE <obj> instance of,TURBOCHARGER WASTE GATE,instance of,USE
12,10,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",<triplet> LEFT ENG <subj> ENG <obj> subclass of,LEFT ENG,subclass of,ENG
13,11,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,<triplet> WNDSHD <subj> IFR <obj> owned by,WNDSHD,owned by,IFR
14,12,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,<triplet> PREV <subj> GR <obj> subclass of,PREV,subclass of,GR
15,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",<triplet> GEAR <subj> GENERATOR <obj> has part,GEAR,has part,GENERATOR
16,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,<triplet> GRASS FIRE <subj> REFUING LINE <obj> has part,GRASS FIRE,has part,REFUING LINE
17,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",<triplet> L <subj> FLT <obj> has part <triplet> FLT <subj> L <obj> part of,L,has part,FLT
18,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",<triplet> L <subj> FLT <obj> has part <triplet> FLT <subj> L <obj> part of,FLT,part of,L
19,16,NO NARRATIVE AVAILABLE                                                                                             ,<triplet> NO NARRATIVE <subj> BBC <obj> original broadcaster,NO NARRATIVE,original broadcaster,BBC
20,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",<triplet> AIR <subj> LAD <obj> has part,AIR,has part,LAD
21,18,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,<triplet> WINDER GUST <subj> WELL <obj> instance of,WINDER GUST,instance of,WELL
22,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,<triplet> AIL <subj> RUDDER <obj> product or material produced <subj> RUDDER <obj> product or material produced,AIL,product or material produced,RUDDER
23,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,<triplet> AIL <subj> RUDDER <obj> product or material produced <subj> RUDDER <obj> product or material produced,AIL,product or material produced,RUDDER
24,20,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,<triplet> MAG INOP <subj> 25 <obj> number of episodes,MAG INOP,number of episodes,25
25,21,WRONG PROP INSTALLED                                                                                               ,<triplet> WRONG PROP <subj> 2006 <obj> publication date,WRONG PROP,publication date,2006
26,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,<triplet> R <subj> 1 <obj> sports league level,R,sports league level,1
27,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,<triplet> MIXTURE CONTROL <subj> HANDLE <obj> product or material produced,MIXTURE CONTROL,product or material produced,HANDLE
28,24,OIL FILLER CAP MISSING.                                                                                            ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,The Great Gatsby,derivative work,Glee
29,24,OIL FILLER CAP MISSING.                                                                                            ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,Glee,based on,The Great Gatsby
30,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,<triplet> HYD <subj> DMGD <obj> replaced by <triplet> DMGD <subj> HYD <obj> replaces,HYD,replaced by,DMGD
31,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,<triplet> HYD <subj> DMGD <obj> replaced by <triplet> DMGD <subj> HYD <obj> replaces,DMGD,replaces,HYD
32,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,<triplet> LNDNG <subj> PLT <obj> parent organization,LNDNG,parent organization,PLT
33,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,<triplet> SUCCESSFUL <subj> INSUFFICIENT <obj> has part,SUCCESSFUL,has part,INSUFFICIENT
34,28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",<triplet> CHOKER <subj> FLT <obj> located in the administrative territorial entity,CHOKER,located in the administrative territorial entity,FLT
35,29,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,<triplet> FLT AFTR <subj> TRAINING <obj> instance of,FLT AFTR,instance of,TRAINING
36,30,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,<triplet> WASHER <subj> BOLT <obj> subclass of,WASHER,subclass of,BOLT
37,31,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,<triplet> 1745 <subj> 1745 <obj> point in time,1745,point in time,1745
38,32,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",<triplet> Emergency LANDING AFTER ENGINE QUIT <subj> FUEL <obj> main subject,Emergency LANDING AFTER ENGINE QUIT,main subject,FUEL
39,33,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,<triplet> FUEL <subj> ENGINE <obj> subclass of,FUEL,subclass of,ENGINE
40,34,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,<triplet> FUEL <subj> POWER <obj> instance of,FUEL,instance of,POWER
41,35,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,<triplet> FUEL <subj> ENGINE <obj> subclass of,FUEL,subclass of,ENGINE
