index,c5_id,c119_text,entities,labels
667,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TAILWHEEL,PER
8334,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",BANNER,ORG
10642,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,APRX,ORG
11199,19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,ACFT,ORG
11469,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",SLIPSTREAM,LOC
12206,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",FROZEN LAKE,LOC
12563,19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",TAXIED,PER
13984,19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,FALURE,PER
14209,19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,TOUCHDOWN,LOC
14310,19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",TOUCHDOWN,PER
14706,19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",TOUCHDOWN,PER
14749,19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",OPEN,MISC
14780,19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAXIWAY,PER
16249,19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,PARKING AREA,LOC
16424,19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,MARSHY AREA,LOC
16478,19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,CABLE,ORG
16651,19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,OPEN,MISC
16744,19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,OPEN,MISC
17111,19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,OPEN,MISC
17616,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,GASCOLATOR BOWL,MISC
18707,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,IFR,PER
18707,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,ATC,ORG
19129,19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,OPEN,MISC
19129,19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,AIRPORT LANDING,LOC
19690,19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",COWLING,PER
19810,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,OPEN,MISC
21201,19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,DMGD,ORG
22035,19790113001939I,ENGINE STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM. LANDED ON THE AIRPORT.                                      ,AIRPORT,LOC
22349,19781205041369A,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,PLT SEL CERTIFICATED.ELEVATOR,ORG
22365,19781119026389I,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ",TAXIWAY,PER
22712,19781102039739A,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  ",SUB DMG,ORG
23912,19790404013469I,"LOUD NOISE DURING RETRACTION, NOSE GEAR COLLPASED ON LANDING. LOOSE NOSE GEAR DOOR JAMMED AND BROKE MECHANISM. ZK  ",ZK,LOC
24020,19790316004819A,"PILOT UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF, DUE TO RESTRICTED STEERING AND FROST.                             ",FROST,PER
24543,19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,WINGS.ACFT SETTLED,LOC
24543,19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,COVERED LAKE,LOC
24825,19790421024889I,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.                ,MUSHED,PER
24898,19790309032649A,"CARGO DOOR CAME OPEN IN FLIGHT. AFTER LANDING,THE DOOR WAS PROPERLY LATCHED. THE FAILURE COULD NOT BE DUPLICATED.  ",OPEN,MISC
25044,19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,AILERON,ORG
25074,19790216014249A,PILOT TOOK OFF WITH GUST LOCK IN PLACE.                                                                            ,GUST,PER
25704,19790510009019A,AIRCRAFT TOOK OFF BUT WAS UNABLE TO MAINIAIN FLIGHT. WITNESSES SAID THERE WAS MODERATE FROST ON THE WINGS.         ,MAINIAIN,PER
