index,c5_id,c119_text,entities,labels
3920,19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,6,CARDINAL
9081,19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",R ENG,PERSON
10409,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,25/80,CARDINAL
13023,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",70,CARDINAL
13401,19771016042599A,WIND GUSTING TO 25.                                                                                                ,25,CARDINAL
13767,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,ACFT,ORG
13925,19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",200 FEET,QUANTITY
13984,19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,FALURE,PERSON
14068,19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",CARBURETOR,PRODUCT
14749,19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",1/2,CARDINAL
15775,19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,0.10,CARDINAL
15969,19780520014159A,GUSTING TO 30K.                                                                                                    ,30K,CARDINAL
16020,19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,2,CARDINAL
16835,19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,AILERON PUSH ROD,PRODUCT
16874,19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,GLIDER WHEEL BRACKET,PRODUCT
