Unnamed: 0,index,input,head,relation,tail,Syntactic Accuracy,Semantic Accuracy,Consistency,Hallucination,Note,Kate's Notes
14,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,GLIDER,notable work,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,0.0,0.0,1.0,0.0,,
15,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,creator,GLIDER,0.0,0.0,1.0,0.0,,
82,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL,1.0,0.0,1.0,1.0,Where does TRAIL come from (hallucination),
83,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT,1.0,0.0,1.0,1.0,,
84,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT,,,,,,We can note repeats in a completeness eval
85,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL,,,,,,
123,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,INEFFECTIVE,subclass of,AIRCRAFT,0.0,0.0,1.0,0.0,,
141,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE COWLING,has part,ENGINE IN FLIGHT,0.0,0.0,1.0,0.0,*ENGINE IN FLIGHT?,
142,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE IN FLIGHT,part of,ENGINE COWLING,0.0,0.0,1.0,0.0,,
190,111,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FORCED LANDING,product or material produced,FUEL,1.0,0.0,1.0,0.0,,
191,111,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FUEL,manufacturer,FORCED LANDING,1.0,0.0,1.0,0.0,,
247,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,TAKEOFF,said to be the same as,BAGGAGE,1.0,0.0,1.0,0.0,,
248,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,TAKEOFF,said to be the same as,POPPED,1.0,0.0,1.0,0.0,,
249,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,BAGGAGE,said to be the same as,TAKEOFF,1.0,0.0,1.0,0.0,,
250,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,BAGGAGE,said to be the same as,POPPED,1.0,0.0,1.0,0.0,,
251,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,POPPED,said to be the same as,TAKEOFF,1.0,0.0,1.0,0.0,,
252,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,POPPED,said to be the same as,BAGGAGE,1.0,0.0,1.0,0.0,,
270,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER,has part,TRAILER,0.0,0.0,1.0,0.0,,
271,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER,has part,TRAILER,,,,,,
272,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,TRAILER,part of,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAIDED HEPER,0.0,0.0,1.0,0.0,,
273,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,TRAILER,part of,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TETHERED HEPER,,,,,,
279,160,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,BAGGAGE CART,participant in,JET BLAST,1.0,1.0,1.0,0.0,,I believe this isn't semantically correct (and potentially not syntactically if we say that it's a syntactic rule that only a person or a group of people can be participants -- but deferring to you on that). All the examples on Propbrowse have people or groups of people as participants.
280,160,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,JET BLAST,participant,BAGGAGE CART,1.0,1.0,1.0,0.0,,""""
285,165,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,WHEEL PANTS,manufacturer,WHEELS,1.0,0.0,1.0,0.0,,
303,178,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,PILOT TAXIED,facet of,TAXIWAY,0.0,0.0,1.0,0.0,,
304,178,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,TAXIWAY,has part,PILOT TAXED,0.0,0.0,1.0,0.0,*no part of that corresponds but has facet of,
417,229,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,AIRCRAFT FAILED TO LIFTOFF,location,SNOW BANK,1.0,1.0,1.0,0.0,,"Aircraft failed to liftoff wouldn't really be considered an entity, even if we're treating it as an event, the complete phrase ends in runway. Furthermore, the location of the failed liftoff is not the snowbank"
418,229,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,SNOW BANK,significant event,AIRCRAFT FAILED TO LIFTOFF,1.0,1.0,1.0,0.0,,"Interesting relation, since if used right it could be informative about maintenance events. I think aircraft failed to liftoff isn't a valid entity still, but otherwise I'd agree on this."
515,284,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,CRASHED,has cause,PREFLIGHT,1.0,1.0,1.0,0.0,,This is good.
516,284,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,PREFLIGHT,has effect,CRASHED,1.0,1.0,1.0,0.0,,""""
523,289,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,BAGGAGE CART,subclass of,AIRCRAFT,1.0,0.0,1.0,0.0,,
600,334,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",PILOT,uses,ENGINE,1.0,1.0,1.0,0.0,,Sure.
601,334,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",ENGINE,used by,PILOT,1.0,1.0,1.0,0.0,,
602,334,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",ENGINE,used by,PILOT,,,,,,
603,334,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",PILOT,uses,ENGINE,,,,,,
635,354,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ",TAKEOFF,has effect,FROZEN,0.0,0.0,1.0,0.0,,
636,354,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ",FROZEN,has cause,TAKEOFF,0.0,0.0,1.0,0.0,,
682,384,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL,item operated,AILERON-ELEVATOR LOCK PIN,0.0,0.0,1.0,0.0,,
725,410,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,FUEL EXHAUSTION,has cause,SIPHONING,1.0,1.0,1.0,0.0,,Good!
726,410,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,SIPHONING,has effect,FUEL EXHAUSTION,1.0,1.0,1.0,0.0,,
