index,c5_id,c119_input,c119_output,c119_strip_output,c119_spaceafter_output,c119_leadapost_output,c119_leadtrailapost_output,c119_lowerletter_output,c119_lowerword_output,c119_lower_output
0,19990213001379A,"acft was taxiing for take off when it lost control, ran into a ditch, and struck a tree. other circumstances ae unk","[{head:crashed, relation:has effect, tail:crash, }]", ,"[{head:crashed, relation:has cause, tail:taxiing, }]","[{head:crashed, relation:location, tail:Mardel, }]","[{head:crashed, relation:location, tail:Mardel, }]", , , 
1,19800217031649I,"after takeoff, engine quit. wing fuel tank sumps were not drained during preflight because they were frozen.       ","[{head:preflight, relation:followed by, tail:takeoff, }]","[{head:sumps, relation:part of, tail:fuel tank, }]", , , , , , 
2,19790720021329A,helicopter took off with sling load attached. crashed when load wedged in trees. improper preflight.               ,"[{head:crashed, relation:has cause, tail:improper preflight, }]", ,"[{head:crashed, relation:has cause, tail:preflight, }]","[{head:crashed, relation:has cause, tail:preflight, }]","[{head:crashed, relation:item operated, tail:helicopter, }]", , , 
3,19841214074599I,while taxiing lost nosewheel steering and brakes. struck 2 aircraft and fence. circuit breaker hydraulic pump open.,"[{head:nosewheel, relation:subclass of, tail:steering, }]", , , , , , , 
4,19860128014289I,forward cargo door opened as aircraft took off. objects dropped out. returned. failed to see warning light.        ,"[{head:forward cargo door, relation:part of, tail:aircraft, }]","[{head:cargo door, relation:part of, tail:aircraft, }]", , ,"[{head:cargo door, relation:part of, tail:aircraft, }]", , , 
5,20000215010329A,"(-23) mr. timothy allen wells was acting as pilot in command of a bell helicopter model bht-47-g5, n4754r, engaged ","[{head:bht-47-g5, relation:subclass of, tail:bell helicopter, }]", , , , , , , 
6,19801116083749I,forced landing after one engine quit;found ice in auxiliary fuel system.                                           ,"[{head:one engine, relation:subclass of, tail:auxiliary fuel, }]","[{head:auxiliary fuel system, relation:part of, tail:engine, }]", ,"[{head:forced landing, relation:subclass of, tail:engine, }]","[{head:'forced landing, relation:subclass of, tail:engine, }]", , , 
7,19850315007389A,pilot was descending to lower altitude due to icing. lost control. altimeter not ifr certified. icing forecast.    ,"[{head:icing, relation:subclass of, tail:descending, }]", , , , , , , 
8,20070630826079I,(-23) aircraft departed ray airport and after takeoff into the climb aircraft engine started to have problems. pilo,"[{head:climb, relation:subclass of, tail:takeoff, }]", , , , , , , 
9,19900425011659A,ran out of fuel on ferry flight. left pontoon separated landing in a pond. fuel cap not secured. fuel siphoned.    ,"[{head:ferry, relation:has part, tail:pontoon, }]","[{head:ferry flight, relation:item operated, tail:pontoon, }]", , , , , , 
10,19991230042089A,"(.4)the pilot said that shortly after takeoff, the engine 'started cutting out and was not developing enough power ","[{head:Cessna 208, relation:based on, tail:Cessna 208W, }]", , , , , , , 
11,19820725041999I,"loose cowling on takeoff. cowling came off on returning to land. cracked windshield, dented stabilizer.            ","[{head:cowling, relation:part of, tail:windshield, }]","[{head:cowling, relation:connects with, tail:windshield, }{head:windshield, relation:connects with, tail:cowling, }]", , , , , , 
12,19940412011509I,aircraft popped open on descent. flight manual flew out and struck truck windshield on ground. landed safely.      ,"[{head:crashed, relation:location, tail:Hartsfield-Jackson International Airport, }]","[{head:Airline Crash Investigation, relation:location, tail:Air Crash Site, }]", ,"[{head:Airline Crash Investigation, relation:location, tail:Air Crash Site, }]","[{head:John F. Kennedy School of Government, relation:part of, tail:Harvard University, }]", , , 
13,19971226042729I,nr2 engine fire while loading passengers at gate. evacuated. fuel lever was in flight idle. cut off. smoke cleared.,"[{head:fuel lever, relation:part of, tail:engine, }]", , ,"[{head:'nr2, relation:has effect, tail:engine fire, }]","[{head:Nr2, relation:has effect, tail:engine fire, }]", , , 
14,19950619021589I,after departing high oil temp. landed off airpor. sheared main gear. found low on oil.                             ,"[{head:high oil temp., relation:facet of, tail:oil, }]","[{head:oil temp, relation:facet of, tail:oil, }]", ,"[{head:oil temp., relation:facet of, tail:oil, }]","[{head:oil temp., relation:facet of, tail:oil, }]", , , 
15,19940815046149I,battery compartment door came open. antenna cracked windshield.                                                    ,"[{head:battery, relation:part of, tail:door, }]","[{head:antenna, relation:connects with, tail:battery, }]", ,"[{head:'battery, relation:subclass of, tail:door, }]","[{head:'battery, relation:subclass of, tail:door, }]", , , 
16,19860228038269I,returned when nose gear failed to retract. found that pin had not been removed after previous maintenance.         ,"[{head:1972, relation:point in time, tail:1972, }]", , , , , , , 
17,19790718019229I,ground stand baggage cart with inoperative brakes rolled into side of parked aircraft. 9 inch tear in fuselage.    ,"[{head:9 inch tear in fuselage, relation:has cause, tail:brakes, }]","[{head:fuselage, relation:part of, tail:aircraft, }]", ,"[{head:aircraft, relation:has part, tail:fuselage, }]","[{head:aircraft, relation:has part, tail:fuselage, }]", , , 
18,20000625032189I,(-23)northwest airlines dc-10 boeing pushed back for repositioning off of gate b-52 struck a continental airlines d,"[{head:(23)northwest airlines, relation:item operated, tail:dc-10 boeing, }]", , ,"[{head:'(-23)northwest airlines, relation:item operated, tail:dc-10 boeing, }]","[{head:'(-23)northwest airlines, relation:item operated, tail:dc-10 boeing, }]", , , 
19,19860530030499A,engine overheat. hot oil smell.knew he had failed to remove air intake plugs. nosed over in furrows plowed failed  ,"[{head:oil, relation:part of, tail:engine, }]", ,"[{head:engine overheat, relation:has cause, tail:oil smell, }{head:oil smell, relation:has effect, tail:engine overheat, }]","[{head:1968, relation:point in time, tail:1968, }]","[{head:1968, relation:point in time, tail:1968, }]", , , 
