id,entity_gs,qid_gs,entity_tool,qid_tool,entity_sim,qid_sim_jc,qid_sim_class
19990213001379A,ACFT,11436,United States Army Combat Fitness Test,67935434,False,0.0,0.0
19990213001379A,ACFT,11436,The Take,3989575,False,0.19872380627125685,0.10221267741730118
19990213001379A,ACFT,11436,OpenType Font,260180,False,0.10539846937176334,0.05373104022215497
19990213001379A,ACFT,11436,Control,54935655,False,0.31840267495164243,0.14953100543647496
19990213001379A,ACFT,11436,Royal Australian Navy,741691,False,0.0768292549785009,0.02456509494404328
19990213001379A,ACFT,11436,Charlotte Brontë,127332,False,0.02529311380830901,0.0038321793152280344
19990213001379A,ACFT,11436,Adobe After Effects,83380,False,0.31840267495164243,0.09880993286342307
19990213001379A,DITCH,2048319,United States Army Combat Fitness Test,67935434,False,0.0,0.0
19990213001379A,DITCH,2048319,The Take,3989575,False,0.057094705141243374,0.02146377883147449
19990213001379A,DITCH,2048319,OpenType Font,260180,False,0.07017352623332496,0.023532000001247808
19990213001379A,DITCH,2048319,Control,54935655,False,0.07017352623332496,0.03173802907688078
19990213001379A,DITCH,2048319,Royal Australian Navy,741691,False,0.0,0.0
19990213001379A,DITCH,2048319,Charlotte Brontë,127332,False,0.0,0.0
19990213001379A,DITCH,2048319,Adobe After Effects,83380,False,0.07017352623332496,0.022808334570934268
19990213001379A,TREE,10884,United States Army Combat Fitness Test,67935434,False,0.0,0.0
19990213001379A,TREE,10884,The Take,3989575,False,0.024724172493543306,0.003179513265005471
19990213001379A,TREE,10884,OpenType Font,260180,False,0.0656009809323469,0.00873129948154879
19990213001379A,TREE,10884,Control,54935655,False,0.024724172493543306,0.003327545374010436
19990213001379A,TREE,10884,Royal Australian Navy,741691,False,0.11353231067910496,0.054726655172746906
19990213001379A,TREE,10884,Charlotte Brontë,127332,False,0.1324379941596342,0.1234363579641827
19990213001379A,TREE,10884,Adobe After Effects,83380,False,0.0,0.0
19990213001379A,LOST CONTROL,29017603,United States Army Combat Fitness Test,67935434,False,0.0,0.0
19990213001379A,LOST CONTROL,29017603,The Take,3989575,False,0.2144585442903436,0.14234641854667543
19990213001379A,LOST CONTROL,29017603,OpenType Font,260180,False,0.2144585442903436,0.08003457688278248
19990213001379A,LOST CONTROL,29017603,Control,54935655,True,0.11522826926733332,0.10050436472683681
19990213001379A,LOST CONTROL,29017603,Royal Australian Navy,741691,False,0.04092111788329855,0.024381335269420584
19990213001379A,LOST CONTROL,29017603,Charlotte Brontë,127332,False,0.04092111788329855,0.026153318563196998
19990213001379A,LOST CONTROL,29017603,Adobe After Effects,83380,False,0.10959949669724856,0.024247144611299613
19800217031649I,TAKEOFF,854248,Takeoff,48719890,True,0.03206569517951441,0.01808429953429911
19800217031649I,TAKEOFF,854248,WING,7950776,False,0.08588191708116844,0.09504739615663611
19800217031649I,TAKEOFF,854248,Quit,7272636,False,0.03206569517951441,0.027018957007336586
19800217031649I,TAKEOFF,854248,Engine,18353587,False,0.03206569517951441,0.024237292716306775
19800217031649I,ENGINE,44167,Takeoff,48719890,False,0.0,0.0
19800217031649I,ENGINE,44167,WING,7950776,False,0.07541052014166483,0.0633070209638561
19800217031649I,ENGINE,44167,Quit,7272636,False,0.07218728535053387,0.018129822969118494
19800217031649I,ENGINE,44167,Engine,18353587,True,0.07218728535053387,0.021930154980440812
19800217031649I,WING,161358,Takeoff,48719890,False,0.0,0.0
19800217031649I,WING,161358,WING,7950776,True,0.05120389623066657,0.019479280391852996
