index,c5_unique_id,c119_text,Kate,Alyssa,Jonathan,Combined,,Notes,Priscila_GPT_Agent
2318,19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","ACFT, DITCH, TREE","ACFT, TAKE OFF, DITCH, TREE, CIRCUMSTANCES","ACFT, DITCH, TREE","ACFT, DITCH, TREE, LOST CONTROL","ACFT, CONTROL, DITCH, TREE",Including abbreviations but not typos. TAKE OFF not counted because in two words (typo),ACFT; TAXIING FOR TAKE OFF; LOST CONTROL; DITCH; TREE; OTHER CIRCUMSTANCES AE UNK
354,19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","TAKEOFF, ENGINE, FUEL TANK, SUMPS, PREFLIGHT","TAKEOFF, ENGINE, WING FUEL TANK SUMPS, PREFLIGHT","TAKEOFF,  ENGINE, TANK SUMPS, PREFLIGHT","TAKEOFF, ENGINE, WING, FUEL TANK, SUMPS, PREFLIGHT",,"Thinking that wing, fuel tank, and sumps are separate entities because we could rephrase as ""the sumps in the fuel tank in the wing""",AFTER TAKEOFF; ENGINE QUIT; WING FUEL TANK SUMPS; PREFLIGHT; FROZEN
284,19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"HELICOPTER, SLING LOAD, LOAD, TREES, PREFLIGHT","HELICOPTER, SLING LOAD, TREES, PREFLIGHT","HELICOPTER, SLING LOAD, LOAD, TREES","HELICOPTER, SLING LOAD, LOAD, TREES, PREFLIGHT",,,HELICOPTER; SLING LOAD; CRASHED; TREES; IMPROPER PREFLIGHT
817,19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"NOSEWHEEL, STEERING, BRAKES, 2, AIRCRAFT, FENCE, CIRCUIT BREAKER, HYDRAULIC PUMP","NOSEWHEEL STEERING, BRAKES, AIRCRAFT, FENCE, CIRCUIT BREAKER HYDRAULIC PUMP","STEERING, BRAKES, AIRCRAFT,FENCE,PUMP","NOSEWHEEL STEERING, BRAKES, AIRCRAFT, FENCE, CIRCUIT BREAKER, HYDRAULIC PUMP",,"Nosewheel steering is a defined type of steering, whereas ""circuit breaker hydraulic pump"" can be broken up because it refers to the circuit breaker for the hydraulic pump",TAXIING; LOST NOSEWHEEL STEERING AND BRAKES; STRUCK 2 AIRCRAFT AND FENCE; CIRCUIT BREAKER HYDRAULIC PUMP OPEN
1024,19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"CARGO DOOR, AIRCRAFT, OBJECTS, WARNING LIGHT","CARGO DOOR, AIRCRAFT, OBJECTS, WARNING LIGHT","FORWARD CARGO DOOR, AIRCRAFT, OBJECTS, WARNING LIGHT","FORWARD CARGO DOOR, AIRCRAFT, OBJECTS, WARNING LIGHT",,,FORWARD CARGO DOOR OPENED; AIRCRAFT TOOK OFF; OBJECTS DROPPED OUT; FAILED TO SEE WARNING LIGHT
2335,20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","TIMOTHY ALLEN WELLS, PILOT, BELL, HELICOPTER, BHT-47-G5, N4754R","MR.TIMOTHY ALLEN WELLS, PILOT, BELL HELICOPTER","MR. TIMOTHY ALLEN WELLS, PILOT, BELL HELICOPTER, BHT-47-G5, N4754R","MR. TIMOTHY ALLEN WELLS, PILOT, BELL, HELICOPTER, BHT-47-G5, N4754R",,,"MR. TIMOTHY ALLEN WELLS; PILOT IN COMMAND; BELL HELICOPTER MODEL BHT-47-G5, N4754R; ENGAGED"
467,19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"FORCED LANDING, ONE, ENGINE, ICE, AUXILIARY FUEL SYSTEM","ENGINE, ICE, FUEL SYSTEM","LANDING, ENGINE, ICE, AUXILIARY FUEL SYSTEM","LANDING, ONE, ENGINE, ICE, AUXILIARY FUEL SYSTEM",,,FORCED LANDING; ONE ENGINE QUIT; ICE IN AUXILIARY FUEL SYSTEM
856,19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"PILOT, ALTIMETER","PILOT, LOWER ALTITUDE, ICING, CONTROL, ALTIMETER, IFR CERTIFIED","PILOT, ALTITUDE, ICING, ALTIMITER, ICING","PILOT, ALTITUDE, ICING, LOST CONTROL, ALTIMETER, ICING",,,PILOT; DESCENDING TO LOWER ALTITUDE; ICING; LOST CONTROL; ALTIMETER NOT IFR CERTIFIED; ICING FORECAST
2685,20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"AIRCRAFT, RAY AIRPORT, TAKEOFF, AIRCRAFT, ENGINE","AIRCRAFT, RAY AIRPORT, TAKEOFF, ENGINE","AIRCRAFT, RAY AIRPORT, TAKEOFF, AIRCRAFT ENGINE","AIRCRAFT, RAY AIRPORT, TAKEOFF, AIRCRAFT, ENGINE, PROBLEMS",,,AIRCRAFT DEPARTED RAY AIRPORT; AFTER TAKEOFF INTO THE CLIMB; AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS; PILO
1457,19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"FUEL, FERRY FLIGHT, PONTOON, POND, FUEL CAP, FUEL","FUEL, FERRY FLIGHT, LEFT PONTOON, LANDING, POND, FUEL CAP, FUEL","FUEL, FERRY FLIGHT, PONTOON, LANDING, POND, FUEL CAP, FUEL","FUEL, FERRY FLIGHT, LEFT PONTOON, LANDING, POND, FUEL CAP, FUEL",,,RAN OUT OF FUEL; FERRY FLIGHT; LEFT PONTOON SEPARATED LANDING IN A POND; FUEL CAP NOT SECURED; FUEL SIPHONED
