c5,c119,c119_output,c119_score
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TAILWHEEL COCKED RIGHT PRIOR TO TKOF. {                                                                               } [                                                                    .                 ,-0.4305591881275177
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,-0.3267589807510376
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ. {                                                               } [ 2ND ILS APCH,ACFT'S G/S G/S G/S INOP.LOM TUNED TO WRONG FREQ.                                 ",-0.3849926292896271
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,-0.15953724086284637
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,-0.22269147634506226
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,ACFT BEING TAXIED ON { GRASS } [ Grass ] TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,-0.21533364057540894
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,-0.4019007682800293
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,-0.3512745797634125
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,-0.4720422327518463
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,-0.2542290687561035
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",-0.18419857323169708
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,PLT CONTINUED T/O IFR AFTER { WNDSHD } [ WNDSHD ] & { WINDOWS } [ WINDOWS ] FOGGED UP DURING VFR DEPARTURE.                             {           } [                     T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                   T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                      T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                        T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.   T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE. T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE. T CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE. T CONTINUED T/O IFR AFTER WNDSHD & WINDowsHD & WINDOWS FOGGED UP DURING VFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE .,-0.23569510877132416
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,-0.17590852081775665
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",-0.3058551549911499
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,-0.48568829894065857
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ",-0.4156895875930786
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,NO NARRATIVE AVAILABLE                                                                                             ,-0.4037098288536072
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",-0.28418534994125366
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,-0.3912149965763092
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,-0.25061556696891785
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,L MAG INOP.#5 CYL COMPRESSION 25/80. {                                                                                } [                                                                             .              ,-0.45657649636268616
19770530012939A,WRONG PROP INSTALLED                                                                                               ,WRONG PROP INSTALLED                                                                                               ,-0.39157259464263916
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE. {                                                            } [ APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                 X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                   X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                             X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                 X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                           X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                     .X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.X 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.,-0.3095470070838928
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,-0.43463006615638733
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,OIL FILLER CAP MISSING. {                                                                                             } [                                                                                                                       FILLER CAP MISSING.                                                   FILLER CAP MISSING.                                                    FILLER CAP MISSING.                            FILLER CAP MISSING. ,-0.3761656880378723
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,-0.2301546335220337
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,-0.34188583493232727
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"['INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION. {                                                                  } [                                                                 UDE FOR SUCCESSFUL AUTOROTATION.                             UDE FOR SUCCESSFUL AUTOROTATION.                             ', 'UDE FOR SUCCESSFUL AUTOROTATION.                               UDE FOR SUCCESSful AUTOROTATION. UDE FOR SUCCESSful AUTOROTATION.                                  UDE FOR SUCCESSful AUTOROTATION. UDE FOR SUCCESSful AUTOROTATION. UDE FOR SUCCESSful AUTOROTATION. UDE FOR SUCCESSful AUTOROTATION.                                                       .', '', '']",-0.3795486092567444
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","CHOKER CABLE STILL CONNECTED TO { CARGO } [ Cargo ] HOOK DURING FLT, FREE TO TRAIL IN { SLIPSTREAM } [ SlIPSTREAM ], STRUCK T/R.                    ",-0.5231336951255798
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,-0.3955369293689728
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,AN175-16 HAD PULLED THROUGH { TORQUE } [ Toronto ] LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,-0.20409055054187775
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,-0.3403930962085724
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",-0.45245033502578735
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN { FUEL } [ Gulf Coast of the United States ]. {                                                            } [                                  CED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                ,-0.4720873236656189
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN { FUEL } [ Puerto Rico ].                                                              ,-0.5199582576751709
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,-0.3704646825790405
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",-0.4883476197719574
