gs_id,gs_entity,gs_qid,data_entity,data_qid,data_description
19800217031649I,TAKEOFF,854248,Takeoff,48719890,"American rapper, member of the hip hop group Migos"
19800217031649I,ENGINE,44167,Engine,18353587,
19800217031649I,WING,161358,WING,7950776,"commercial AM radio station in Dayton, Ohio"
19790720021329A,HELICOPTER,34486,HElicopTEr,5629507,album by Download
19790720021329A,TREES,10884,Trees,7837713,poem by Joyce Kilmer
19790720021329A,CRASH,3002150,Crashed,5182414,single by Daughtry
19841214074599I,BRAKES,1534839,Brakes,4956042,indie rock band
19841214074599I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
19841214074599I,FENCE,148571,Fence,1404586,magazine
20000215010329A,PILOT,2095549,PILOT,2044212,historic programming language
19801116083749I,ENGINE,44167,Engine,18353587,
19801116083749I,ENGINE,44167,engine fuel system,1786017,
19801116083749I,FUEL SYSTEM,4698552,engine fuel system,1786017,
19850315007389A,PILOT,2095549,PILOT,2044212,historic programming language
19850315007389A,ICING,12060664,Icing,5986470,
19850315007389A,LOST CONTROL,29017603,Lost Control,6683945,2002 single by Grinspoon
19850315007389A,ALTIMETER,216197,altimeter,216197,instrument used to measure the altitude of an object above a fixed level
19850315007389A,ICING,12060664,Icing,5986470,
20070630826079I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
20070630826079I,AIRCRAFT,11436,aircraft engine,743004,engine designed for use in powered aircraft
20070630826079I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
20070630826079I,AIRCRAFT,11436,aircraft engine,743004,engine designed for use in powered aircraft
20070630826079I,ENGINE,44167,aircraft engine,743004,engine designed for use in powered aircraft
20070630826079I,PROBLEMS,621184,Fuckin' Problems,130740,"single by A$AP Rocky featuring Drake, 2 Chainz and Kendrick Lamar"
19900425011659A,FUEL,1875633,FUEL,5427266,
19900425011659A,FERRY FLIGHT,331837,ferry flight,331837,aircraft flight used to deliver or reposition an aircraft to a base of operations
19900425011659A,POND,12719646,Pond,2103520,Australian rock band
19991230042089A,PILOT,2095549,PILOT,2044212,historic programming language
19991230042089A,TAKEOFF,854248,Takeoff,48719890,"American rapper, member of the hip hop group Migos"
19991230042089A,ENGINE,44167,Engine,18353587,
19991230042089A,POWER,25342,Power,15072855,American drama television series
19820725041999I,COWLING,1138219,Cowling,1138219,
19820725041999I,TAKEOFF,854248,Takeoff,48719890,"American rapper, member of the hip hop group Migos"
19820725041999I,COWLING,1138219,Cowling,1138219,
19820725041999I,LAND,11081619,LAND,919179,Denial of Service attack
19820725041999I,STABILIZER,2712515,The Stabilizer,7766155,1986 film directed by Arizal
19940412011509I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
19940412011509I,WINDSHIELD,13693,windshield,13693,front window of vehicle
19950619021589I,GEAR,263421,GEAR,11298062,non-verbal entertainment
19950619021589I,OIL,42962,Oil,7081283,episode of The Young Ones
19940815046149I,DOOR,36794,The Door,7730684,2012 film by István Szabó
19790718019229I,BAGGAGE CART,14277552,baggage cart,14277552,small vehicles pushed by travelers to carry individual luggage
19790718019229I,BRAKES,1534839,Brakes,4956042,indie rock band
19790718019229I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
19790718019229I,FUSELAGE,1110579,fuselage,1110579,"aircraft main body which is the primary carrier of crew, passengers, and payload"
20000625032189I,BOEING,66,Boeing,66,aerospace and defense manufacturer in the United States
19860530030499A,ENGINE,44167,Engine,18353587,
19821117066379I,PILOT,2095549,PILOT,2044212,historic programming language
19821117066379I,DOOR,36794,The Door,7730684,2012 film by István Szabó
19821117066379I,DOOR,36794,The Door,7730684,2012 film by István Szabó
19821117066379I,FUSELAGE,1110579,fuselage,1110579,"aircraft main body which is the primary carrier of crew, passengers, and payload"
19810303007119A,AIRPLANE,197,Airplane,4698858,EP released in 1998 by Rusted Root
19950602032329I,TAXIWAY,910386,taxiway,910386,"path for aircraft at an aerodrome connecting runways with aprons, hangars, terminals and other facilities"
19950602032329I,TAXIWAY,910386,taxiway,910386,"path for aircraft at an aerodrome connecting runways with aprons, hangars, terminals and other facilities"
19950602032329I,PROP,922654,propionic acidemia,7250337,organic acidemia that involes a nonfunctional propionyl CoA carboxylase affecting conversion of aminio acids and fats into sugar for energy
19901101064289I,CAP,2488579,Escaping,18353973,single by Margaret Urlich
19901101064289I,FLIGHT,15921555,Flight,564298,2012 American drama film directed by Robert Zemeckis
19901101064289I,WING,161358,WING,7950776,"commercial AM radio station in Dayton, Ohio"
19860706034879A,ENGINE,44167,Engine,18353587,
19860706034879A,WATER,283,Water,617395,2005 film by Deepa Mehta
19860706034879A,FUEL,1875633,FUEL,5427266,
19840121015319I,ENGINE,44167,Engine,18353587,
19840121015319I,TAKEOFF,854248,Takeoff,48719890,"American rapper, member of the hip hop group Migos"
19960322013629I,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
19960322013629I,MAINTENANCE,1043452,maintenance,1043452,"operational and functional checks, servicing, repair or replacing of a product or technical system or parts thereof in order to keep their necessary technical condition"
19960322013629I,GEAR,143873,GEAR,11298062,non-verbal entertainment
19960504009509A,SKID,17143883,Skid,2234301,
19960504009509A,PILOT,2095549,PILOT,2044212,historic programming language
19790211002709A,AIRCRAFT,11436,Aircraft,4698564,"railway station in Laverton, Melbourne, Victoria, Australia"
19790211002709A,RUNWAY,184590,Runway,7380135,2004 film directed by Joshiy
19850418016709I,ENGINE,44167,Engine,18353587,
19850418016709I,AEROBATICS,373557,aerobatics,373557,flying maneuvers involving attitudes not attained during normal flight
19850418016709I,FIELD,188869,The Field,39071317,2017 film
19850418016709I,PILOT,2095549,PILOT,2044212,historic programming language
