index,c5_unique_id,c119_text,entities,labels
2318,19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK",ACFT,"[{'value': 'ORG', 'confidence': 0.6453856825828552}]"
2335,20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ",TIMOTHY ALLEN WELLS,"[{'value': 'PER', 'confidence': 0.9036426544189453}]"
2685,20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,RAY AIRPORT,"[{'value': 'LOC', 'confidence': 0.7651021480560303}]"
642,19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",COWLING,"[{'value': 'PER', 'confidence': 0.9998599290847778}]"
2064,19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,NR2,"[{'value': 'ORG', 'confidence': 0.8487916588783264}]"
1773,19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,ANTENNA,"[{'value': 'ORG', 'confidence': 0.6385192275047302}]"
1006,19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,NOSE,"[{'value': 'PER', 'confidence': 0.30335044860839844}]"
2352,20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,NORTHWEST AIRLINES,"[{'value': 'ORG', 'confidence': 0.9049899280071259}]"
2352,20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,BOEING,"[{'value': 'ORG', 'confidence': 0.823235273361206}]"
2600,20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ",RAYTHEON,"[{'value': 'MISC', 'confidence': 0.5210999846458435}]"
2592,20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ",SIKORSKY S-70A,"[{'value': 'MISC', 'confidence': 0.7634705305099487}]"
2030,19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,BOWEN,"[{'value': 'PER', 'confidence': 0.9933949112892151}]"
2030,19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,STEVEN'S VILLAGE,"[{'value': 'LOC', 'confidence': 0.5700140595436096}]"
