,index,input,head,relation,tail
0,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TRAILWHEEL,owned by,TKOF
1,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TKOF,owner of,TRAILWHEEL
2,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,HIT TREE,manufacturer,AIRBORNE
3,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",2ND ILS APCH,parent organization,INOP
4,2,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",INOP,subsidiary,2nd ILS APCH
5,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,PEDAL,located in the administrative territorial entity,TAXI
6,3,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,TAXI,contains administrative territorial entity,PEDAL
7,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,SFC,different from,TFC
8,4,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,TFC,different from,SFC
9,5,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,GRASS TAXIWAY,length,6
10,6,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,DEP FOR DEST,product or material produced,EMERG GR DOWN
11,6,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,EMERG GR DOWN,manufacturer,DEP FOR DEST
12,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,FLT TO,instance of,REPTD
13,7,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,REPTD,has parts of the class,FLT TO
14,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,GLIDER,notable work,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.
15,8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,creator,GLIDER
16,9,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,TURBOCHARGER WASTE GATE,instance of,MAINT
17,10,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",LEFT ENG OIL SUPPLY EXHAUSTED,instance of,ENG
18,11,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,WNDSHD,instance of,T/O
19,12,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,PREV NOSE WHEEL,subclass of,LGT
20,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",GENERATOR,connects with,CIRCUIT
21,13,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",CIRCUIT,connects with,GENERATOR
22,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,GRASS FIRE,has effect,COVID-19 pandemic
23,14,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,COVID-19 pandemic,has cause,GRASS FIRE
24,15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.",record label,FLT
25,16,NO NARRATIVE AVAILABLE                                                                                             ,NO NARRATIVE,publication date,2006
26,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",FEATHER,different from,MAG
27,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",MAG,different from,FEATHER
28,18,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,RUDDER GUST,award received,WIN
29,18,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,WIN,winner,RUDDER GUST
30,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,AIL,product or material produced,RUDDER
31,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,AIL,product or material produced,RUDDER
32,20,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,MAG INOP,number of episodes,25
33,21,WRONG PROP INSTALLED                                                                                               ,WRONG PROPTAINED,publication date,2016
34,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1/2,said to be the same as,DEPARTURE
35,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,DEPARTURE,said to be the same as,1/2
36,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,MIXTURE CONTROL,product or material produced,HANDLE
37,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,HANDLE,manufacturer,MIXTURE CONTROL
38,24,OIL FILLER CAP MISSING.                                                                                            ,COVID-19 pandemic,has effect,COVID-19 pandemic
39,24,OIL FILLER CAP MISSING.                                                                                            ,COVID-19 pandemic,has cause,COVID-19 pandemic
