doc_idx,c5_id,sent_idx,original_sentence,input,mentions,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
0,19750315005389A,0,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,tailwheel cocked right prior to tkof.,tailwheel,Flywheel,Q183576," A flywheel is a mechanical device specifically designed to efficiently store rotational energy (kinetic energy). Flywheels resist changes in rotational speed by their moment of inertia. The amount of energy stored in a flywheel is proportional to the square of its rotational speed and its mass. The way to change a flywheel's stored energy without changing its mass is by increasing or decreasing its rotational speed. Since flywheels act as mechanical energy storage devices, they are the kinetic-energy-storage analogue to electrical capacitors, for example, which are a type of accumulator. Like other types of accumulators, flywheels smooth the ripple in power output, providing surges of high power output as required, absorbing surges of high power input (system-generated power) as required, and in this way act as low-pass filters on the mechanical velocity (angular, or otherwise) of the system.  Common uses of a flywheel include:  Flywheels are typically made of steel and rotate on conventional bearings; these are generally limited to a maximum revolution rate of a few thousand RPM. High energy density flywheels can be made of carbon fiber composites and employ magnetic bearings, enabling them to revolve at speeds up to 60,000 RPM (1 kHz).  Carbon-composite flywheel batteries have recently been manufactured and are proving to be viable in real-world tests on mainstream cars. Additionally, their disposal is more eco-friendly than traditional lithium ion batteries. ",Conventional landing gear,Q2874355," Conventional landing gear, or tailwheel-type landing gear, is an aircraft undercarriage consisting of two main wheels forward of the center of gravity and a small wheel or skid to support the tail. The term taildragger is also used, although some claim it should apply only to those aircraft with a tailskid rather than a wheel.  The term ""conventional"" persists for historical reasons, but all modern jet aircraft and most modern propeller aircraft use tricycle gear. "
7,19760215007629A,0,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,mtns obscured.flt to ck vor rec reptd inop prior day.,mtns,KCNS,Q6327147," KCNS, virtual channel 38 (UHF digital channel 39), is a Sonlife Broadcasting Network-affiliated television station licensed to San Francisco, California, United States and serving the San Francisco Bay Area. The station is owned by NRJ TV, LLC, as part of a duopoly with Concord-licensed KTNC-TV (channel 42). The two stations share transmitting facilities at Sutro Tower in San Francisco. ",KCNS,Q6327147," KCNS, virtual channel 38 (UHF digital channel 39), is a Sonlife Broadcasting Network-affiliated television station licensed to San Francisco, California, United States and serving the San Francisco Bay Area. The station is owned by NRJ TV, LLC, as part of a duopoly with Concord-licensed KTNC-TV (channel 42). The two stations share transmitting facilities at Sutro Tower in San Francisco. "
22,19770528021299A,0,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,aprx 1/2 cupfull fluid under r brake prior to departure.,aprx,Audi Performance and Racing,Q4819705," APR LLC is an American automotive engineering and motorsport company that offers aftermarket performance products for cars built by the Volkswagen Group, including Audi, Porsche, SEAT, Skoda and Volkswagen. Audi Performance & Racing was founded in 1997 by Brett Augsburger and Stephen Hooks, automotive engineers looking to offer aftermarket upgrades for Volkswagen Auto Group cars. Their first product was a ECU software upgrade for the 1997 Audi A4 1.8T, but the company soon expanded its product line to include exhaust and turbo systems. APR engine tuning products use proprietary software for reading and writing to Bosch Motronic engine control units.   ",Elementis,Q5358919," Elementis plc is one of the UK's largest speciality chemicals and personal care businesses, with extensive operations in the United States, Europe and Asia. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index. "
25,19770610021339A,0,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,acft n42807 & n7930c substantially dmgd.,acft,ACIF,Q4650675, ACIF stands for AFP Conversion and Indexing Facility. ,American Car and Foundry Company,Q2842866," American Car and Foundry (often abbreviated as ACF) is an American manufacturer of railroad rolling stock. One of its subsidiaries was once (1925–54) a manufacturer of motor coaches and trolley coaches under the brand names of (first) ACF and (later) ACF-Brill. Today, ACF is known as ACF Industries LLC and is based in St. Charles, Missouri. It is owned by investor Carl Icahn. "
37,19780129004679I,0,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","engine quit, landing made on frozen lake.",frozen lake,Glacial lake,Q211302," A glacial lake is a body of water with origins from glacier activity. They are formed when a glacier erodes the land, and then melts, filling the depression created by the glacier. ",Frozen Lake (Montana),Q19880506," Frozen Lake is a lake in Flathead County, Montana, in the United States.  Frozen Lake was named from its tendency to freeze over.   "
49,19780206006039I,0,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,engine cowling came loose in flight.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
50,19780111000459A,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot.,acft,Air traffic control,Q221395," Air traffic control (ATC) is a service provided by ground-based air traffic controllers who direct aircraft on the ground and through controlled airspace, and can provide advisory services to aircraft in non-controlled airspace. The primary purpose of ATC worldwide is to prevent collisions, organize and expedite the flow of air traffic, and provide information and other support for pilots. In some countries, ATC plays a security or defensive role, or is operated by the military.  Air traffic controllers monitor the location of aircraft in their assigned airspace by radar and communicate with the pilots by radio. To prevent collisions, ATC enforces traffic separation rules, which ensure each aircraft maintains a minimum amount of empty space around it at all times. In many countries, ATC provides services to all private, military, and commercial aircraft operating within its airspace. Depending on the type of flight and the class of airspace, ATC may issue ""instructions"" that pilots are required to obey, or ""advisories"" (known as ""flight information"" in some countries) that pilots may, at their discretion, disregard. The pilot in command is the final authority for the safe operation of the aircraft and may, in an emergency, deviate from ATC instructions to the extent required to maintain safe operation of their aircraft. ",Air traffic control,Q221395," Air traffic control (ATC) is a service provided by ground-based air traffic controllers who direct aircraft on the ground and through controlled airspace, and can provide advisory services to aircraft in non-controlled airspace. The primary purpose of ATC worldwide is to prevent collisions, organize and expedite the flow of air traffic, and provide information and other support for pilots. In some countries, ATC plays a security or defensive role, or is operated by the military.  Air traffic controllers monitor the location of aircraft in their assigned airspace by radar and communicate with the pilots by radio. To prevent collisions, ATC enforces traffic separation rules, which ensure each aircraft maintains a minimum amount of empty space around it at all times. In many countries, ATC provides services to all private, military, and commercial aircraft operating within its airspace. Depending on the type of flight and the class of airspace, ATC may issue ""instructions"" that pilots are required to obey, or ""advisories"" (known as ""flight information"" in some countries) that pilots may, at their discretion, disregard. The pilot in command is the final authority for the safe operation of the aircraft and may, in an emergency, deviate from ATC instructions to the extent required to maintain safe operation of their aircraft. "
50,19780111000459A,1,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,pilot forgot to remove tiedrope.,pilot,Pilot in command,Q1146304," The pilot in command (PIC) of an aircraft is the person aboard the aircraft who is ultimately responsible for its operation and safety during flight. This would be the captain in a typical two- or three-pilot aircrew, or ""pilot"" if there is only one certificated and qualified pilot at the controls of an aircraft. The PIC must be legally certificated (or otherwise authorized) to operate the aircraft for the specific flight and flight conditions, but need not be actually manipulating the controls at any given moment. The PIC is the person legally in charge of the aircraft and its flight safety and operation, and would normally be the primary person liable for an infraction of any flight rule.  The strict legal definition of PIC may vary slightly from country to country. The International Civil Aviation Organization, a United Nations agency, definition is: ""The pilot responsible for the operation and safety of the aircraft during flight time."" ""Flight time"" for airplanes is defined by the U.S. FAA as ""Pilot time that commences when an aircraft moves under its own power for the purpose of flight and ends when the aircraft comes to rest after landing."" This would normally include taxiing, which involves the ground operation to and from the runway, as long as the taxiing is carried out with the intention of flying the aircraft.  The U.S. CFR Title 14, Part 1, Section 1.1 defines ""pilot in command"" as: ...the person who: ",PILOT,Q2044212," Programmed Instruction, Learning, or Teaching (PILOT) is a simple programming language developed in the 1960s. Like its younger sibling LOGO, it was an early foray into the technology of computer-assisted instruction. "
58,19780225001789I,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system, gascolator and carburetor contained water.",gascolator,Gascolator,Q5526394," A gascolator, also known as a ""main line strainer"", ""sediment bowl"" or ""fuel strainer"", acts primarily as a fuel drain for water and small particles of sediment and is usually found at the lowest point of an aircraft's fuel system. The gascolator is located below the level of the aircraft's carburetor and fuel tanks and on light aircraft is commonly located on the front of the firewall, as low as possible.  There are two types of gascolators: those tapped for a primer port and those without. If equipped with a primer port the aircraft fuel primer will take its fuel supply from the gascolator, used for engine starting.  Gascolators are susceptible to the effects of heat from the co-located engine and exhaust components, which can cause fuel vapourization in the gascolator and vapour lock problems. This usually manifests itself as a partial power loss in cruise flight. To combat this problem some installations use a gascolator heat shield or free air blast tubes to cool the gascolator.  Some types of gascolators are equipped with a remote spring-loaded knob to drain them. Writer Tony Bingelis says of this type:  ",Gascolator,Q5526394," A gascolator, also known as a ""main line strainer"", ""sediment bowl"" or ""fuel strainer"", acts primarily as a fuel drain for water and small particles of sediment and is usually found at the lowest point of an aircraft's fuel system. The gascolator is located below the level of the aircraft's carburetor and fuel tanks and on light aircraft is commonly located on the front of the firewall, as low as possible.  There are two types of gascolators: those tapped for a primer port and those without. If equipped with a primer port the aircraft fuel primer will take its fuel supply from the gascolator, used for engine starting.  Gascolators are susceptible to the effects of heat from the co-located engine and exhaust components, which can cause fuel vapourization in the gascolator and vapour lock problems. This usually manifests itself as a partial power loss in cruise flight. To combat this problem some installations use a gascolator heat shield or free air blast tubes to cool the gascolator.  Some types of gascolators are equipped with a remote spring-loaded knob to drain them. Writer Tony Bingelis says of this type:  "
58,19780225001789I,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system, gascolator and carburetor contained water.",carburetor,Carburetor,Q165435," A carburetor (American English) or carburettor (British English) is a device that mixes air and fuel for internal combustion engines in the proper air–fuel ratio for combustion. It is sometimes colloquially shortened to ""carb"" in the UK and North America or ""carby"" in Australia. To carburate or carburet (and thus carburation or carburetion, respectively) means to mix the air and fuel or to equip (an engine) with a carburetor for that purpose.  Carburetors have largely been supplanted in the automotive and, to a lesser extent, aviation industries by fuel injection. They are still common on small engines for lawn mowers, rototillers and other equipment. ",Carburetor,Q165435," A carburetor (American English) or carburettor (British English) is a device that mixes air and fuel for internal combustion engines in the proper air–fuel ratio for combustion. It is sometimes colloquially shortened to ""carb"" in the UK and North America or ""carby"" in Australia. To carburate or carburet (and thus carburation or carburetion, respectively) means to mix the air and fuel or to equip (an engine) with a carburetor for that purpose.  Carburetors have largely been supplanted in the automotive and, to a lesser extent, aviation industries by fuel injection. They are still common on small engines for lawn mowers, rototillers and other equipment. "
