c5,c119,c119_coref,c119_ner,c119_pos,c119_lemmatized,c119_dependency,c119_sentiment,corefs
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,[],[],"[('TAILWHEEL', 'PROPN'), ('COCKED', 'PROPN'), ('RIGHT', 'ADV'), ('PRIOR', 'PROPN'), ('TO', 'ADP'), ('TKOF', 'PROPN'), ('.', 'PUNCT'), ('                                                                             ', 'SPACE')]","['TAILWHEEL', 'COCKED', 'right', 'PRIOR', 'to', 'TKOF', '.', '                                                                             ']","[('TAILWHEEL', 'compound', 'COCKED'), ('COCKED', 'ROOT', 'COCKED'), ('RIGHT', 'advmod', 'PRIOR'), ('PRIOR', 'advmod', 'TKOF'), ('TO', 'aux', 'TKOF'), ('TKOF', 'ROOT', 'TKOF'), ('.', 'punct', 'TKOF'), ('                                                                             ', '', '.')]",0.1428571428571428,[]
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,[],"[('TOW', 'ORG'), ('TOW', 'ORG'), ('TROUBLE & RELEASED.HIT TREE', 'ORG')]","[('TOW', 'PROPN'), ('PLANE', 'NOUN'), ('BECAME', 'VERB'), ('AIRBORNE', 'PROPN'), ('THEN', 'ADV'), ('SETTLED.STUDENT', 'PROPN'), ('THOUGHT', 'PROPN'), ('TOW', 'PROPN'), ('IN', 'ADP'), ('TROUBLE', 'PROPN'), ('&', 'CCONJ'), ('RELEASED.HIT', 'PROPN'), ('TREE', 'NOUN'), ('.', 'PUNCT'), ('                        ', 'SPACE')]","['TOW', 'plane', 'become', 'AIRBORNE', 'then', 'SETTLED.STUDENT', 'THOUGHT', 'TOW', 'in', 'TROUBLE', '&', 'RELEASED.HIT', 'tree', '.', '                        ']","[('TOW', 'compound', 'PLANE'), ('PLANE', 'ROOT', 'PLANE'), ('BECAME', 'compound', 'AIRBORNE'), ('AIRBORNE', 'appos', 'PLANE'), ('THEN', 'advmod', 'TOW'), ('SETTLED.STUDENT', 'compound', 'TOW'), ('THOUGHT', 'compound', 'TOW'), ('TOW', 'appos', 'AIRBORNE'), ('IN', 'prep', 'AIRBORNE'), ('TROUBLE', 'pobj', 'IN'), ('&', 'cc', 'TROUBLE'), ('RELEASED.HIT', 'compound', 'TREE'), ('TREE', 'conj', 'TROUBLE'), ('.', 'punct', 'PLANE'), ('                        ', '', '.')]",-0.2,[]
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",[],"[('ILS APCH', 'ORG'), ('ACFT', 'ORG'), ('FREQ', 'ORG')]","[('2ND', 'NUM'), ('ILS', 'PROPN'), ('APCH', 'PROPN'), (',', 'PUNCT'), ('ACFT', 'PROPN'), (""'S"", 'PART'), ('G', 'PROPN'), ('/', 'SYM'), ('S', 'NOUN'), ('INOP.LOM', 'NOUN'), ('TUNED', 'PROPN'), ('TO', 'ADP'), ('WRONG', 'PROPN'), ('FREQ', 'PROPN'), ('.', 'PUNCT'), ('                                                             ', 'SPACE')]","['2nd', 'ILS', 'APCH', ',', 'ACFT', ""'s"", 'G', '/', 's', 'inop.lom', 'TUNED', 'to', 'WRONG', 'FREQ', '.', '                                                             ']","[('2ND', 'nummod', 'APCH'), ('ILS', 'compound', 'APCH'), ('APCH', 'ROOT', 'APCH'), (',', 'punct', 'APCH'), ('ACFT', 'poss', 'FREQ'), (""'S"", 'case', 'ACFT'), ('G', 'nmod', 'S'), ('/', 'punct', 'S'), ('S', 'nmod', 'FREQ'), ('INOP.LOM', 'punct', 'FREQ'), ('TUNED', 'nmod', 'FREQ'), ('TO', 'prep', 'TUNED'), ('WRONG', 'compound', 'FREQ'), ('FREQ', 'appos', 'APCH'), ('.', 'punct', 'APCH'), ('                                                             ', '', '.')]",-0.25,[]
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,[],[],"[('PLT', 'PROPN'), ('NOTED', 'PROPN'), ('SOFT', 'VERB'), ('R', 'NOUN'), ('BRAKE', 'PROPN'), ('PEDAL', 'PROPN'), ('DRG', 'PROPN'), ('TAXI', 'NOUN'), ('TO', 'ADP'), ('TKOF.FLT', 'ADP'), ('RTND', 'PROPN'), ('SPRINGFIELD', 'PROPN'), ('DUE', 'PROPN'), ('SOFT', 'ADJ'), ('BRAKE', 'PROPN'), ('STRONG', 'NOUN'), ('WINDS', 'VERB'), ('BOS', 'NOUN'), ('                ', 'SPACE')]","['PLT', 'NOTED', 'SOFT', 'r', 'BRAKE', 'PEDAL', 'DRG', 'taxi', 'to', 'tkof.flt', 'RTND', 'SPRINGFIELD', 'DUE', 'soft', 'BRAKE', 'STRONG', 'wind', 'bos', '                ']","[('PLT', 'nmod', 'R'), ('NOTED', 'advmod', 'R'), ('SOFT', 'compound', 'R'), ('R', 'compound', 'TAXI'), ('BRAKE', 'compound', 'TAXI'), ('PEDAL', 'compound', 'TAXI'), ('DRG', 'compound', 'TAXI'), ('TAXI', 'ROOT', 'TAXI'), ('TO', 'prep', 'TAXI'), ('TKOF.FLT', 'compound', 'RTND'), ('RTND', 'nmod', 'BRAKE'), ('SPRINGFIELD', 'compound', 'SOFT'), ('DUE', 'compound', 'SOFT'), ('SOFT', 'compound', 'BRAKE'), ('BRAKE', 'compound', 'STRONG'), ('STRONG', 'nsubj', 'WINDS'), ('WINDS', 'ROOT', 'WINDS'), ('BOS', 'npadvmod', 'WINDS'), ('                ', '', 'BOS')]",0.1270833333333333,[]
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,[],"[('MAIN', 'ORG'), ('WASHED', 'ORG')]","[('TAXI', 'VERB'), ('OFF', 'PART'), ('HARD', 'PROPN'), ('SFC', 'PROPN'), ('DUE', 'PROPN'), ('TFC', 'PROPN'), ('R', 'PROPN'), ('MAIN', 'PROPN'), ('GR', 'PROPN'), ('BROKE', 'PROPN'), ('THROUGH', 'PROPN'), ('ROOF', 'PROPN'), ('OF', 'ADP'), ('A', 'DET'), ('WASHED', 'PROPN'), ('OUT', 'NOUN'), ('UNDERGROUND', 'NOUN'), ('TUNNEL', 'PROPN'), ('.', 'PUNCT'), ('                        ', 'SPACE')]","['taxi', 'off', 'HARD', 'SFC', 'DUE', 'TFC', 'R', 'MAIN', 'GR', 'BROKE', 'THROUGH', 'ROOF', 'of', 'a', 'WASHED', 'out', 'underground', 'TUNNEL', '.', '                        ']","[('TAXI', 'ROOT', 'TAXI'), ('OFF', 'prep', 'TAXI'), ('HARD', 'compound', 'SFC'), ('SFC', 'compound', 'GR'), ('DUE', 'compound', 'GR'), ('TFC', 'compound', 'GR'), ('R', 'compound', 'GR'), ('MAIN', 'amod', 'GR'), ('GR', 'pobj', 'OFF'), ('BROKE', 'dep', 'TAXI'), ('THROUGH', 'compound', 'ROOF'), ('ROOF', 'ROOT', 'ROOF'), ('OF', 'prep', 'ROOF'), ('A', 'det', 'WASHED'), ('WASHED', 'ROOT', 'WASHED'), ('OUT', 'compound', 'TUNNEL'), ('UNDERGROUND', 'compound', 'TUNNEL'), ('TUNNEL', 'dobj', 'WASHED'), ('.', 'punct', 'WASHED'), ('                        ', '', '.')]",-0.0833333333333333,[]
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,[],"[('NOSE', 'PERSON')]","[('ACFT', 'PROPN'), ('BEING', 'VERB'), ('TAXIED', 'PROPN'), ('ON', 'PROPN'), ('GRASS', 'PROPN'), ('TAXIWAY', 'PROPN'), ('NOSE', 'PROPN'), ('WHEEL', 'NOUN'), ('STRUCK', 'VERB'), ('A', 'DET'), ('6', 'NUM'), ('IN', 'ADP'), ('RUT', 'PROPN'), ('WHICH', 'DET'), ('WAS', 'VERB'), ('NOT', 'ADV'), ('NOTICED', 'NOUN'), ('.', 'PUNCT'), ('                            ', 'SPACE')]","['ACFT', 'be', 'TAXIED', 'ON', 'GRASS', 'TAXIWAY', 'NOSE', 'wheel', 'strike', 'a', '6', 'in', 'RUT', 'which', 'be', 'not', 'noticed', '.', '                            ']","[('ACFT', 'nsubj', 'BEING'), ('BEING', 'ROOT', 'BEING'), ('TAXIED', 'compound', 'ON'), ('ON', 'compound', 'GRASS'), ('GRASS', 'attr', 'BEING'), ('TAXIWAY', 'compound', 'WHEEL'), ('NOSE', 'compound', 'WHEEL'), ('WHEEL', 'nsubj', 'STRUCK'), ('STRUCK', 'ROOT', 'STRUCK'), ('A', 'det', 'RUT'), ('6', 'nummod', 'RUT'), ('IN', 'compound', 'RUT'), ('RUT', 'dobj', 'STRUCK'), ('WHICH', 'nsubjpass', 'NOTICED'), ('WAS', 'aux', 'NOTICED'), ('NOT', 'neg', 'NOTICED'), ('NOTICED', 'relcl', 'RUT'), ('.', 'punct', 'STRUCK'), ('                            ', '', '.')]",0.0,[]
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,[],[],"[('DEP', 'NOUN'), ('FOR', 'ADP'), ('DEST', 'NOUN'), ('WITH', 'ADP'), ('KNOWN', 'NOUN'), ('ELEC', 'NOUN'), ('PROB', 'NOUN'), ('.', 'PUNCT'), ('DIDNT', 'PROPN'), ('USE', 'PROPN'), ('EMERG', 'PROPN'), ('GR', 'PROPN'), ('DOWN', 'PROPN'), ('SYS', 'PROPN'), ('.', 'PUNCT'), ('                                                   ', 'SPACE')]","['dep', 'for', 'DEST', 'with', 'KNOWN', 'elec', 'prob', '.', 'DIDNT', 'USE', 'EMERG', 'GR', 'DOWN', 'SYS', '.', '                                                   ']","[('DEP', 'ROOT', 'DEP'), ('FOR', 'prep', 'DEP'), ('DEST', 'pobj', 'FOR'), ('WITH', 'prep', 'DEST'), ('KNOWN', 'compound', 'PROB'), ('ELEC', 'compound', 'PROB'), ('PROB', 'pobj', 'WITH'), ('.', 'punct', 'DEP'), ('DIDNT', 'compound', 'GR'), ('USE', 'compound', 'GR'), ('EMERG', 'compound', 'GR'), ('GR', 'compound', 'SYS'), ('DOWN', 'compound', 'SYS'), ('SYS', 'ROOT', 'SYS'), ('.', 'punct', 'SYS'), ('                                                   ', '', '.')]",-0.1555555555555555,[]
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,[],[],"[('MTNS', 'PROPN'), ('OBSCURED.FLT', 'PROPN'), ('TO', 'ADP'), ('CK', 'NOUN'), ('VOR', 'PROPN'), ('REC', 'PROPN'), ('REPTD', 'PROPN'), ('INOP', 'PROPN'), ('PRIOR', 'PROPN'), ('DAY', 'PROPN'), ('.', 'PUNCT'), ('                                                             ', 'SPACE')]","['MTNS', 'OBSCURED.FLT', 'to', 'ck', 'VOR', 'REC', 'REPTD', 'INOP', 'PRIOR', 'DAY', '.', '                                                             ']","[('MTNS', 'amod', 'OBSCURED.FLT'), ('OBSCURED.FLT', 'ROOT', 'OBSCURED.FLT'), ('TO', 'aux', 'REPTD'), ('CK', 'compound', 'REC'), ('VOR', 'compound', 'REC'), ('REC', 'nsubj', 'REPTD'), ('REPTD', 'ROOT', 'REPTD'), ('INOP', 'ROOT', 'INOP'), ('PRIOR', 'amod', 'DAY'), ('DAY', 'npadvmod', 'INOP'), ('.', 'punct', 'INOP'), ('                                                             ', '', '.')]",0.0,[]
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,[],"[('ATTITUDE', 'ORG')]","[('SUFFICIENT', 'PROPN'), ('OPPORTUNITY', 'PROPN'), ('EXISTED', 'VERB'), ('TO', 'PART'), ('RELEASE', 'PROPN'), ('WHEN', 'ADV'), ('GLIDER', 'PROPN'), ('ASSUMED', 'NOUN'), ('NOSE', 'PROPN'), ('HIGH', 'PROPN'), ('ATTITUDE', 'VERB'), ('.', 'PUNCT'), ('                                 ', 'SPACE')]","['SUFFICIENT', 'OPPORTUNITY', 'exist', 'to', 'RELEASE', 'when', 'GLIDER', 'assumed', 'NOSE', 'HIGH', 'ATTITUDE', '.', '                                 ']","[('SUFFICIENT', 'amod', 'OPPORTUNITY'), ('OPPORTUNITY', 'compound', 'RELEASE'), ('EXISTED', 'advmod', 'RELEASE'), ('TO', 'aux', 'RELEASE'), ('RELEASE', 'ROOT', 'RELEASE'), ('WHEN', 'advmod', 'ATTITUDE'), ('GLIDER', 'compound', 'ATTITUDE'), ('ASSUMED', 'compound', 'ATTITUDE'), ('NOSE', 'compound', 'ATTITUDE'), ('HIGH', 'compound', 'ATTITUDE'), ('ATTITUDE', 'dobj', 'RELEASE'), ('.', 'punct', 'RELEASE'), ('                                 ', '', '.')]",0.16,[]
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,[],"[('MAINT', 'ORG'), ('AVAILABLE', 'ORG')]","[('MAINT', 'PROPN'), ('NOT', 'ADV'), ('PERFORMED', 'PROPN'), ('DUE', 'PROPN'), ('PARTS', 'NOUN'), ('NOT', 'ADV'), ('AVAILABLE', 'PROPN'), ('.', 'PUNCT'), ('TURBOCHARGER', 'PROPN'), ('WASTE', 'PROPN'), ('GATE', 'PROPN'), ('DID', 'VERB'), ('NOT', 'ADV'), ('ACTUATE', 'VERB'), ('.', 'PUNCT'), ('                             ', 'SPACE')]","['MAINT', 'not', 'PERFORMED', 'DUE', 'part', 'not', 'AVAILABLE', '.', 'TURBOCHARGER', 'WASTE', 'GATE', 'do', 'not', 'actuate', '.', '                             ']","[('MAINT', 'nsubj', 'PERFORMED'), ('NOT', 'neg', 'PERFORMED'), ('PERFORMED', 'ROOT', 'PERFORMED'), ('DUE', 'compound', 'PARTS'), ('PARTS', 'dobj', 'PERFORMED'), ('NOT', 'neg', 'AVAILABLE'), ('AVAILABLE', 'ROOT', 'AVAILABLE'), ('.', 'punct', 'AVAILABLE'), ('TURBOCHARGER', 'compound', 'GATE'), ('WASTE', 'compound', 'GATE'), ('GATE', 'nsubj', 'DID'), ('DID', 'aux', 'ACTUATE'), ('NOT', 'neg', 'ACTUATE'), ('ACTUATE', 'ROOT', 'ACTUATE'), ('.', 'punct', 'ACTUATE'), ('                             ', '', '.')]",-0.175,[]
