,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
0,19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",pilot,PHYS,hangar
1,19790410008789A,209,0,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,the pilot said water found in fuel and in company owned fuel tanker .,company,ART,tanker
2,19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,pilot,ART,airplane
3,19790508100289I,237,0,PILOT FLEW AIRCRAFT NOT SIGNED OFF AFTER INSPECTION. LOST UPPER ENGINE COWLING IN FLIGHT. HAD NOT BEEN FASTENED.   ,pilot flew aircraft not signed off after inspection .,pilot,ART,aircraft
4,19790602009889A,268,0,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,pilot ditched in the ocean .,pilot,PHYS,ocean
5,19791014005659A,314,0,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,student pilot carrying passengers crashed shortly after takeoff .,pilot,PER-SOC,passengers
6,19791126034419A,326,0,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,cfi with student attempted takeoff from snow covered rwy with ice on wings .,student,ART,cfi
7,19800604051679I,381,0,"STUDENT PREFLIGHTED PLANE. STATED GAS TANKS FULL. AFTER 1.2 HOURS, RAN OUT OF GAS. LANDED IN FIELD.                ",student preflighted plane .,student,ART,plane
8,19800611054319I,383,1,PILOT ACCUSTOMED TO USING PORTABLE FUEL CANS. USED CANS TO REFUEL HIS AIRPLANE FROM CANS. QUIT ON WATER TAKEOFF    ,used cans to refuel his airplane from cans .,his,ART,airplane
9,19801207076399A,487,0,PILOT LOST CONTROL & AIRCRAFT CRASHED DURING TAKEOFF DUE TO BOLT COMING OUT OF RUDDER HORN.                        ,pilot lost control & aircraft crashed during takeoff due to bolt coming out of rudder horn .,pilot,ART,aircraft
10,19810424018779A,518,1,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,tow pilot released glider to clear wires .,pilot,ART,glider
11,19810622037779A,534,0,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,pilot engrossed in retracting engine on motorized glider lost excess altitude and crashed on ridge .,pilot,ART,glider
12,19820311007049I,611,0,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,pilot reported loss of oil in engine and diverted to memphis .,pilot,PHYS,memphis
13,19820618024699A,628,0,STUDENT GLIDER PILOT FAILED TO LATCH SPOILERS PRIOR TO TAKEOFF. MISUNDERSTOOD TOW PILOT SIGNAL. RELEASED TOW.      ,student glider pilot failed to latch spoilers prior to takeoff .,pilot,ART,glider
14,19821025065459I,650,0,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,pilot swerved off runway on takeoff roll when seat height retaining pin slipped from retaining hole .,pilot,PHYS,runway
15,19840717046169I,759,1,ROTORS BLADES STRUCK ROTORS OF A PARKED HELICOPTER AFTER START UP. PILOT OF PARKED CRAFT FAILED TO SECURE ROTORS.  ,pilot of parked craft failed to secure rotors .,pilot,ART,craft
