c5_id,doc_idx,sent_idx,c119_input,sentence,entities,labels
19750419011349A,1,0,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,tow plane became airborne then settled .,plane,VEH
19750419011349A,1,1,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,student thought tow in trouble & released .,student,PER
19751029037799A,2,0,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","2nd ils apch , acft 's g/s inop .",acft,ORG
19751209037899A,3,0,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,plt noted soft r brake pedal drg taxi to tkof .,tkof,ORG
19750818025579A,4,0,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,taxi off hard sfc due tfc r main gr broke through roof of a washed out underground tunnel .,tunnel,FAC
19760606015529A,8,0,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,sufficient opportunity existed to release when glider assumed nose high attitude .,glider,VEH
19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,plt,ORG
19761022033409A,11,0,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,plt continued t/o ifr after wndshd & windows fogged up during vfr departure .,vfr,ORG
19760715023479A,14,1,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,skid caught under refueling line .,skid,VEH
19770610021339A,25,1,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,plt continued taxiing after total hyd failure .,plt,ORG
19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,plt,ORG
19770912040629A,31,1,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,eng not feathered .,eng,PER
19770912040629A,31,2,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,autofeather not connected.100 octane fuel .,autofeather,VEH
19780130004789I,41,0,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,pilot failed to check position of gear handle .,pilot,PER
19780102000459I,42,0,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","taxied off runway , struck ditch at night .",runway,FAC
19780102000459I,42,0,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","taxied off runway , struck ditch at night .",ditch,LOC
19780115003139I,46,0,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,new aircraft owner not aware of purpose or operation of quick drain .,aircraft,VEH
19780115003139I,46,0,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,new aircraft owner not aware of purpose or operation of quick drain .,owner,PER
19780206006149I,47,0,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",pilot failed to remove tow bar before takeoff .,pilot,PER
19780111000459A,50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot .,dispatcher,PER
19780111000459A,50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot .,pilot,PER
19780111000459A,50,1,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,pilot forgot to remove tiedrope .,pilot,PER
19780208007759I,51,0,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,pilot observed gear safe lights but gear collapsed after landing .,pilot,PER
19780210006769I,52,1,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","no pilot certificate , no annual .",pilot,PER
19780212006439I,55,0,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,pilot unable to become airborne due to frost on the wings and falure to use full power .,pilot,PER
19780218007139I,57,0,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,pilot intended to fly locally after recent blizzard .,pilot,PER
19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",gascolator,VEH
19780225001819I,59,1,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,pilot claims fuel gauge faulty .,pilot,PER
19780307014069I,60,0,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,pilot struck an unlighted barricade during taxi from landing .,pilot,PER
19780307014069I,60,0,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,pilot struck an unlighted barricade during taxi from landing .,barricade,FAC
19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,pilot,PER
