,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
0,19780115003139I,46,0,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,new aircraft owner not aware of purpose or operation of quick drain .,owner,ART,aircraft
1,19780307014069I,60,0,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,pilot struck an unlighted barricade during taxi from landing .,pilot,PHYS,barricade
2,19780316008589I,67,0,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,pilot over ran runway into a ditch due to brake failure .,pilot,PHYS,runway
3,19780504031959I,91,0,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","door popped open on takeoff , pilot lost control while trying to latch door , ran off side of runway .",pilot,PHYS,runway
4,19780623036259I,116,0,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,pilot landed on beach after noting smoke and fumes in cockpit caused by grass and dirt in engine compartment,pilot,PHYS,beach
5,19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",pilot,PHYS,hangar
6,19790410008789A,209,1,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,the pilot said water found in fuel and in company owned fuel tanker .,company,ART,tanker
7,19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,pilot,ART,airplane
8,19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,instructor,ART,airplane
9,19790508100289I,237,0,PILOT FLEW AIRCRAFT NOT SIGNED OFF AFTER INSPECTION. LOST UPPER ENGINE COWLING IN FLIGHT. HAD NOT BEEN FASTENED.   ,pilot flew aircraft not signed off after inspection .,pilot,ART,aircraft
