,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
0,19760507010379A,10,0,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",gear-up ldg in mesquite brush .,mesquite brush,USED-FOR,gear-up ldg
1,19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,lndng gr extnsn,USED-FOR,plt
2,19780112002729I,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
3,19780129004679I,37,0,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,ice restriction,PART-OF,main fuel strainer
4,19780225001789I,58,0,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",gascolator,CONJUNCTION,carburetor
5,19780225001789I,58,0,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",system,CONJUNCTION,gascolator
6,19780509032859I,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
7,19780726036499I,129,0,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment,inflation,CONJUNCTION,cam adjustment
8,19781102023549I,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
9,19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,jet blast,USED-FOR,baggage cart
10,19781230020029I,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,engine falure,CONJUNCTION,total electrical failure
11,19790102000919I,181,0,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,lost directional control on icy runway .,directional control,FEATURE-OF,icy runway
12,19781117041969A,187,0,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,turbochargers not used on tkof .,turbochargers,USED-FOR,tkof
