,index,input,sentence,head,relation,tail
0,0,tailwheel cocked right prior to tkof.                                                                              ,<triplet> Cape Town <subj> South Africa <obj> country <triplet> South Africa <subj> Cape Town <obj> capital,Cape Town,country,South Africa
1,0,tailwheel cocked right prior to tkof.                                                                              ,<triplet> Cape Town <subj> South Africa <obj> country <triplet> South Africa <subj> Cape Town <obj> capital,South Africa,capital,Cape Town
2,1,tow plane became airborne then settled.student thought tow in trouble & released.hit tree.                         ,<triplet> student <subj> teacher <obj> different from <triplet> teacher <subj> student <obj> different from,student,different from,teacher
3,1,tow plane became airborne then settled.student thought tow in trouble & released.hit tree.                         ,<triplet> student <subj> teacher <obj> different from <triplet> teacher <subj> student <obj> different from,teacher,different from,student
4,2,"2nd ils apch,acft's g/s inop.lom tuned to wrong freq.                                                              ",<triplet> 2nd ils apch <subj> g/s <obj> instance of,2nd ils apch,instance of,g/s
5,3,plt noted soft r brake pedal drg taxi to tkof.flt rtnd springfield due soft brake strong winds bos                 ,<triplet> plt <subj> tkof <obj> different from <triplet> tkof <subj> plt <obj> different from,plt,different from,tkof
6,3,plt noted soft r brake pedal drg taxi to tkof.flt rtnd springfield due soft brake strong winds bos                 ,<triplet> plt <subj> tkof <obj> different from <triplet> tkof <subj> plt <obj> different from,tkof,different from,plt
7,4,taxi off hard sfc due tfc r main gr broke through roof of a washed out underground tunnel.                         ,<triplet> main gr <subj> tunnel <obj> connects with <triplet> tunnel <subj> main gr <obj> connects with,main gr,connects with,tunnel
8,4,taxi off hard sfc due tfc r main gr broke through roof of a washed out underground tunnel.                         ,<triplet> main gr <subj> tunnel <obj> connects with <triplet> tunnel <subj> main gr <obj> connects with,tunnel,connects with,main gr
9,5,acft being taxied on grass taxiway nose wheel struck a 6 in rut which was not noticed.                             ,<triplet> nose wheel <subj> rut <obj> part of <triplet> rut <subj> nose wheel <obj> has part,nose wheel,part of,rut
10,5,acft being taxied on grass taxiway nose wheel struck a 6 in rut which was not noticed.                             ,<triplet> nose wheel <subj> rut <obj> part of <triplet> rut <subj> nose wheel <obj> has part,rut,has part,nose wheel
11,6,dep for dest with known elec prob. didnt use emerg gr down sys.                                                    ,<triplet> elec <subj> gr <obj> subclass of,elec,subclass of,gr
12,7,mtns obscured.flt to ck vor rec reptd inop prior day.                                                              ,<triplet> ck <subj> prior day <obj> said to be the same as <triplet> prior day <subj> ck <obj> said to be the same as,ck,said to be the same as,prior day
13,7,mtns obscured.flt to ck vor rec reptd inop prior day.                                                              ,<triplet> ck <subj> prior day <obj> said to be the same as <triplet> prior day <subj> ck <obj> said to be the same as,prior day,said to be the same as,ck
14,8,sufficient opportunity existed to release when glider assumed nose high attitude.                                  ,<triplet> Leipzig <subj> Germany <obj> country <triplet> Germany <subj> Leipzig <obj> contains administrative territorial entity,Leipzig,country,Germany
15,8,sufficient opportunity existed to release when glider assumed nose high attitude.                                  ,<triplet> Leipzig <subj> Germany <obj> country <triplet> Germany <subj> Leipzig <obj> contains administrative territorial entity,Germany,contains administrative territorial entity,Leipzig
16,9,maint not performed due parts not available. turbocharger waste gate did not actuate.                              ,<triplet> waste gate <subj> turbocharger <obj> subclass of,waste gate,subclass of,turbocharger
17,10,"left eng oil supply exhausted.gear-up ldg in mesquite brush.density alt,7200ft. high oil usage eng                 ",<triplet> ldg <subj> eng <obj> different from <triplet> eng <subj> ldg <obj> different from,ldg,different from,eng
18,10,"left eng oil supply exhausted.gear-up ldg in mesquite brush.density alt,7200ft. high oil usage eng                 ",<triplet> ldg <subj> eng <obj> different from <triplet> eng <subj> ldg <obj> different from,eng,different from,ldg
19,11,plt continued t/o ifr after wndshd & windows fogged up during vfr departure.                                       ,<triplet> wndshd <subj> vfr <obj> replaced by <triplet> vfr <subj> wndshd <obj> replaces,wndshd,replaced by,vfr
20,11,plt continued t/o ifr after wndshd & windows fogged up during vfr departure.                                       ,<triplet> wndshd <subj> vfr <obj> replaced by <triplet> vfr <subj> wndshd <obj> replaces,vfr,replaces,wndshd
21,12,plt preoccupied with prev nose wheel vibration.didn't observe gr safe lgt. wind gusting 23kts.                     ,<triplet> wind <subj> vibration <obj> has effect <triplet> vibration <subj> wind <obj> has cause,wind,has effect,vibration
22,12,plt preoccupied with prev nose wheel vibration.didn't observe gr safe lgt. wind gusting 23kts.                     ,<triplet> wind <subj> vibration <obj> has effect <triplet> vibration <subj> wind <obj> has cause,vibration,has cause,wind
23,13,"elect syst went dead,generator circuit breaker switch not engaged.not time to ext.gear manually.                   ",<triplet> generator <subj> circuit breaker <obj> has part <triplet> circuit breaker <subj> generator <obj> part of,generator,has part,circuit breaker
24,13,"elect syst went dead,generator circuit breaker switch not engaged.not time to ext.gear manually.                   ",<triplet> generator <subj> circuit breaker <obj> has part <triplet> circuit breaker <subj> generator <obj> part of,circuit breaker,part of,generator
25,14,grass fire only. skid caught under refueling line.                                                                 ,<triplet> St. Louis <subj> Missouri <obj> located in the administrative territorial entity <triplet> Missouri <subj> St. Louis <obj> contains administrative territorial entity,St. Louis,located in the administrative territorial entity,Missouri
26,14,grass fire only. skid caught under refueling line.                                                                 ,<triplet> St. Louis <subj> Missouri <obj> located in the administrative territorial entity <triplet> Missouri <subj> St. Louis <obj> contains administrative territorial entity,Missouri,contains administrative territorial entity,St. Louis
27,15,"banner pick up,loop on tow rope caught on l lndg gr.plt un maintain flt.                                           ",<triplet> lndg <subj> lndt <obj> different from <triplet> lndt <subj> lndg <obj> different from,lndg,different from,lndt
28,15,"banner pick up,loop on tow rope caught on l lndg gr.plt un maintain flt.                                           ",<triplet> lndg <subj> lndt <obj> different from <triplet> lndt <subj> lndg <obj> different from,lndt,different from,lndg
29,16,no narrative available                                                                                             ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War I,followed by,World War II
30,16,no narrative available                                                                                             ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War II,follows,World War I
31,17,"r eng,l mag excessive drop. attmptd feather r prop,un feather due pressure switch malfunction.                     ",<triplet> prop <subj> feather <obj> has part,prop,has part,feather
32,18,rudder gust lock engaged.ice on wings.overweight                                                                   ,<triplet> wind turbine <subj> turbine <obj> subclass of,wind turbine,subclass of,turbine
33,19,rudder & ail ctl cables loose. r rudder cable caught under battery box support structure.                          ,<triplet> r rudder cable <subj> battery box <obj> connects with <triplet> battery box <subj> r rudder cable <obj> connects with,r rudder cable,connects with,battery box
34,19,rudder & ail ctl cables loose. r rudder cable caught under battery box support structure.                          ,<triplet> r rudder cable <subj> battery box <obj> connects with <triplet> battery box <subj> r rudder cable <obj> connects with,battery box,connects with,r rudder cable
35,20,l mag inop.#5 cyl compression 25/80.                                                                               ,<triplet> 1985 <subj> 1985 <obj> point in time,1985,point in time,1985
36,21,wrong prop installed                                                                                               ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,George Orwell,notable work,Nineteen Eighty-Four
37,21,wrong prop installed                                                                                               ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,Nineteen Eighty-Four,author,George Orwell
38,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,2,said to be the same as,1
39,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,2,said to be the same as,1
40,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,2,said to be the same as,1
