,index,c5_id,input,head,relation,tail
0,0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TRAILWHEEL,owned by,TKOF
1,0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,TKOF,owner of,TRAILWHEEL
2,1,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,HIT TREE,manufacturer,AIRBORNE
3,2,19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",2ND ILS APCH,parent organization,INOP
4,2,19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",INOP,subsidiary,2nd ILS APCH
5,3,19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,PEDAL,located in the administrative territorial entity,TAXI
6,3,19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,TAXI,contains administrative territorial entity,PEDAL
7,4,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,SFC,different from,TFC
8,4,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,TFC,different from,SFC
9,5,19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,GRASS TAXIWAY,length,6
10,6,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,DEP FOR DEST,product or material produced,EMERG GR DOWN
11,6,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,EMERG GR DOWN,manufacturer,DEP FOR DEST
12,7,19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,FLT TO,instance of,REPTD
13,7,19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,REPTD,has parts of the class,FLT TO
14,8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,GLIDER,notable work,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.
15,8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,creator,GLIDER
16,9,19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,TURBOCHARGER WASTE GATE,instance of,MAINT
17,10,19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ",LEFT ENG OIL SUPPLY EXHAUSTED,instance of,ENG
