c5,c119,c119_entity_linking
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"[['TAILWHEEL COCKED', Entity not linked to a knowledge base, None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"[['PLANE BECAME', Entity not linked to a knowledge base, None], ['ORNE', Entity not linked to a knowledge base, None]]"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","[['2ND', None, 'ORDINAL'], ['ILS APCH', Entity not linked to a knowledge base, None], [""ACFT'"", Entity(wikidata_entity_id=Q67935434, wikipedia_entity_title=Army Combat Fitness Test), 'PERSON'], ['INOP.LOM', Entity not linked to a knowledge base, None], ['WRONG FREQ', Entity not linked to a knowledge base, None]]"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"[['KE', Entity not linked to a knowledge base, None], ['XI', Entity not linked to a knowledge base, 'PERSON'], ['K', Entity not linked to a knowledge base, 'PERSON'], ['RTND SPRINGFIELD', Entity not linked to a knowledge base, 'PERSON'], ['WINDS BOS', Entity not linked to a knowledge base, 'PERSON']]"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['HARD SFC', Entity not linked to a knowledge base, None], ['DUE', Entity not linked to a knowledge base, None], ['MAIN GR BROKE', Entity not linked to a knowledge base, 'PERSON'], ['UNNEL', Entity not linked to a knowledge base, None]]"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,[]
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"[['DEP', Entity not linked to a knowledge base, None], ['KNOWN ELEC PROB', Entity not linked to a knowledge base, None], ['EMERG GR DOWN SYS', Entity not linked to a knowledge base, None]]"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"[['MTNS', Entity not linked to a knowledge base, None], ['CK VOR', Entity not linked to a knowledge base, 'PERSON'], ['OP PRIOR DAY', Entity not linked to a knowledge base, None]]"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"[['GLIDER', Entity not linked to a knowledge base, 'PERSON'], ['NOSE', Entity not linked to a knowledge base, 'PERSON']]"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"[['TURBOCHARGER', Entity(wikidata_entity_id=Q185525, wikipedia_entity_title=Turbocharger), 'PERSON'], ['TE GATE', Entity not linked to a knowledge base, 'PERSON']]"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","[['T,7200FT', None, 'QUANTITY']]"
