,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
0,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"[['APRX 1745LBS', Entity not linked to a knowledge base, None]]",APRX 1745LBS,,,
1,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"[['UEL', Entity not linked to a knowledge base, None]]",UEL,,,
2,19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","[['PILOT', Entity not linked to a knowledge base, None], ['PILOT', Entity not linked to a knowledge base, 'ORG']]",PILOT,,,
3,19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","[['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
4,19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"[['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
5,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"[['HOLE', Entity not linked to a knowledge base, None], ['HOLE', Entity not linked to a knowledge base, None]]",HOLE,,,
6,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"[['HOLE', Entity not linked to a knowledge base, None], ['HOLE', Entity not linked to a knowledge base, None]]",HOLE,,,
7,19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,"[['EL', Entity not linked to a knowledge base, None]]",EL,,,
8,19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,"[['MARSHY AREA', Entity(wikidata_entity_id=Q30198, wikipedia_entity_title=Marsh), None], ['FUEL', Entity not linked to a knowledge base, 'ORG']]",MARSHY AREA,,Marsh,Q30198
9,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"[['GASCOLATOR BOWL', Entity not linked to a knowledge base, None]]",GASCOLATOR BOWL,,,
10,19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,"[['FUEL', Entity not linked to a knowledge base, None]]",FUEL,,,
11,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"[['AKEOFF', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'ORG']]",AKEOFF,,,
12,19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","[['IF', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'ORG']]",IF,,,
13,19790111000619I,ENGINE QUIT AFTER LIFTOFF. LANDED GEAR UP. FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS.                           ,"[['L', Entity not linked to a knowledge base, None]]",L,,,
