,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"[['TAILWHEEL', Entity(wikidata_entity_id=Q2874355, wikipedia_entity_title=Conventional landing gear), None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TAILWHEEL,,Conventional landing gear,Q2874355
1,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"[['TAILWHEEL', Entity(wikidata_entity_id=Q2874355, wikipedia_entity_title=Conventional landing gear), None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TKOF,,Taylor knock-out factor,Q7690028
2,19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","[['ILS', Entity(wikidata_entity_id=Q464020, wikipedia_entity_title=Instrument landing system), None], ['FT', Entity not linked to a knowledge base, None]]",ILS,,Instrument landing system,Q464020
3,19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","[['ILS', Entity(wikidata_entity_id=Q464020, wikipedia_entity_title=Instrument landing system), None], ['FT', Entity not linked to a knowledge base, None]]",FT,,,
4,19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"[['SPRINGFIELD', Entity not linked to a knowledge base, None]]",SPRINGFIELD,,,
5,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity not linked to a knowledge base, None], ['ARD', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['MAIN GR', Entity not linked to a knowledge base, None]]",TAXI,,,
6,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity not linked to a knowledge base, None], ['ARD', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['MAIN GR', Entity not linked to a knowledge base, None]]",ARD,,,
7,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity not linked to a knowledge base, None], ['ARD', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['MAIN GR', Entity not linked to a knowledge base, None]]",FC,,,
8,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity not linked to a knowledge base, None], ['ARD', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['MAIN GR', Entity not linked to a knowledge base, None]]",FC,,,
9,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity not linked to a knowledge base, None], ['ARD', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['FC', Entity not linked to a knowledge base, None], ['MAIN GR', Entity not linked to a knowledge base, None]]",MAIN GR,,,
10,19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"[['I', Entity not linked to a knowledge base, None]]",I,,,
11,19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"[['CK VOR', Entity not linked to a knowledge base, None]]",CK VOR,,,
12,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['L', Entity not linked to a knowledge base, None], ['LNDG', Entity not linked to a knowledge base, None]]",L,,,
13,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['L', Entity not linked to a knowledge base, None], ['LNDG', Entity not linked to a knowledge base, None]]",LNDG,,,
14,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"[['R', Entity not linked to a knowledge base, None], ['DER', Entity not linked to a knowledge base, None]]",R,,,
15,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"[['R', Entity not linked to a knowledge base, None], ['DER', Entity not linked to a knowledge base, None]]",DER,,,
16,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"[['MAG', Entity not linked to a knowledge base, None], ['CYL', Entity not linked to a knowledge base, None]]",MAG,,,
17,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"[['MAG', Entity not linked to a knowledge base, None], ['CYL', Entity not linked to a knowledge base, None]]",CYL,,,
18,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"[['BRA', Entity not linked to a knowledge base, None]]",BRA,,,
