,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"[['TAILWHEEL COCKED', Entity not linked to a knowledge base, None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TAILWHEEL COCKED,,,
1,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"[['TAILWHEEL COCKED', Entity not linked to a knowledge base, None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TKOF,,Taylor knock-out factor,Q7690028
2,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"[['PLANE BECAME', Entity not linked to a knowledge base, None], ['ORNE', Entity not linked to a knowledge base, None]]",PLANE BECAME,,,
3,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"[['PLANE BECAME', Entity not linked to a knowledge base, None], ['ORNE', Entity not linked to a knowledge base, None]]",ORNE,,,
4,19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"[['KE', Entity not linked to a knowledge base, None], ['XI', Entity not linked to a knowledge base, 'PERSON'], ['K', Entity not linked to a knowledge base, 'PERSON'], ['RTND SPRINGFIELD', Entity not linked to a knowledge base, 'PERSON'], ['WINDS BOS', Entity not linked to a knowledge base, 'PERSON']]",KE,,,
5,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['HARD SFC', Entity not linked to a knowledge base, None], ['DUE', Entity not linked to a knowledge base, None], ['MAIN GR BROKE', Entity not linked to a knowledge base, 'PERSON'], ['UNNEL', Entity not linked to a knowledge base, None]]",TAXI,,Taxicab,Q82650
6,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['HARD SFC', Entity not linked to a knowledge base, None], ['DUE', Entity not linked to a knowledge base, None], ['MAIN GR BROKE', Entity not linked to a knowledge base, 'PERSON'], ['UNNEL', Entity not linked to a knowledge base, None]]",HARD SFC,,,
7,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None], ['HARD SFC', Entity not linked to a knowledge base, None], ['DUE', Entity not linked to a knowledge base, None], ['MAIN GR BROKE', Entity not linked to a knowledge base, 'PERSON'], ['UNNEL', Entity not linked to a knowledge base, None]]",DUE,,,
8,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"[['DEP', Entity not linked to a knowledge base, None], ['KNOWN ELEC PROB', Entity not linked to a knowledge base, None], ['EMERG GR DOWN SYS', Entity not linked to a knowledge base, None]]",DEP,,,
9,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"[['DEP', Entity not linked to a knowledge base, None], ['KNOWN ELEC PROB', Entity not linked to a knowledge base, None], ['EMERG GR DOWN SYS', Entity not linked to a knowledge base, None]]",KNOWN ELEC PROB,,,
