index,c5_id,c119_text,entities,labels
9081,19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",UN,ORG
10409,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,25/80,MONEY
12206,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",FROZEN LAKE,LOC
13401,19771016042599A,WIND GUSTING TO 25.                                                                                                ,25,CARDINAL
13925,19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",200 FEET,QUANTITY
15775,19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,0.10,CARDINAL
15775,19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,FORCE,ORG
15969,19780520014159A,GUSTING TO 30K.                                                                                                    ,30K,CARDINAL
16020,19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,2,CARDINAL
17616,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,250,CARDINAL
18707,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,ATC,ORG
19622,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,15 MINUTES,TIME
19690,19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",COWLING,ORG
20751,19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,4,CARDINAL
20751,19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,PN 41A2,PRODUCT
20751,19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,UNKN RSN,ORG
21332,19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ",THE TAKEOFF RUNWAY,PRODUCT
21905,19781230019999I,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,ONE,CARDINAL
21980,19790107000829I,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ",APPROXIMATELY 6 QTS,MONEY
22466,19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,5 MONTHS,DATE
24501,19790321010439A,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,MULTIENGINE AIRPLANE,PRODUCT
26068,19790427100559I,ENGINE QUIT DUE TO FUEL CONTAMINATION. AIRCRAFT DAMAGED IN AUTOROTATION.                                           ,AUTOROTATION,ORG
26437,19790625015009A,ENGINE FAILED IN FLT. TWO & ONE HALF QUARTS OF WATER WERE DRAINED FROM THE GAS TANK AFTER THE ACCIDENT.            ,FLT,ORG
26437,19790625015009A,ENGINE FAILED IN FLT. TWO & ONE HALF QUARTS OF WATER WERE DRAINED FROM THE GAS TANK AFTER THE ACCIDENT.            ,TWO,CARDINAL
26606,19790513026659I,"LOSS OF OIL PREESURE PRECEEDED ENGINE SHUTDOWN. VECTORS TO AIRPORT, 8 QUARTS OIL ADDED. ENGINE HAD MINOR OIL LEAK. ",8,CARDINAL
27061,19790609024769A,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,11 MONTHS,DATE
27752,19790807024709A,PILOT ABORTED TAKEOFF & WHILE APPLYING BRAKES SEAT CAME LOOSE CAUSING PILOT'S FEET TO RELEASE BRAKES. ACFT CRASHED ,ACFT,ORG
